Record_ID,Job_Title,Company,Country,Industry,Job_Function,Seniority,Employment_Type,Description,Source,Link
JDRAW_00776,Sales Consultant - Market Leading Incentive Package,Reo Group,Australia,Sales / Business Development,Unknown,Associate,Unknown,"Location: Hybrid flexible working. Choose between Parramatta, CBD, and WFH.  Salary package: 100K OTE in the first year. Market-leading commission structure. Role highlights: Make the transition into one of the most thriving industries in today's business landscape. Learn the trade with the support of our award-winning organisation and quickly thrive as an industry leader. Role OverviewRecruitment is a trade and in the right environment can offer you a life-long career that can be extremely rewarding both professionally and financially. We offer genuine growth opportunities and the pathway to thrive as industry leaders, so you can support our community of professionals in doing the same. As a recruitment consultant, you are responsible to maintain and grow a network of hiring managers and talent. Your focus is to support your network as a true recruitment business partner and support them in headhunting talent that will enable them to build high-performing teams.Responsibilities in this role include Recruitment, Business Growth, Client Relationship Management, and Talent Relationship Management.At Reo Group, we aim to lead our industry's evolution by challenging norms and expectations. We know, the only way we can achieve this vision is by building an environment where our team can grow and thrive.We recruit in Executive Roles, Finance &amp; Accounting, Financial Services, Insurance, Human Resources, Marketing, Corporate Services, Data &amp; Analytics, Technology. Profile Minimum 2+ years' experience in a B2B Sales or Sales Management roleLooking to build a career that will create autonomy in your lifeLooking to develop your business acumen and strategic capabilityStrong pro-active sales experienceExperience in managing client relationships and managing deliverables to clientsStrong evidence in billing capabilityCollaborative in natureHungry to grow and thrive The Company, Culture &amp; Benefits At the heart of every business are its people, and our business is no different.The Reo Group team has long regarded our company as a 'village'. A community where we come together to collaborate, problem-solve, support one another, and celebrate as a team.We have built an environment where our team can grow and thrive. Where wellbeing is prioritised and supported. Where we 'walk the walk' not just 'talk the talk'. Our aim as a business is to challenge industry norms and expectations and this starts with nurturing our own people. When our team has the tools to grow and the ability to thrive as industry leaders, they will support our community of business professionals in doing the same. Flexible WorkingWe offer a hybrid working model, with flexibility around both location and work hours to suit the lives of each individual and to help you find balance. Behaviours Based MeasuresOur Reo Group behaviours ensure mutual respect and contribution across the team. They are at the heart of our culture and we continually measure ourselves against them. Clear and Fair ExpectationsWe seek fairness and transparency in our business and as such provide clarity on the expectations around your working commitments. Workload FrameworksFrameworks are in place to ensure workload can be managed. We also apply burn-out prevention strategies that consider the bigger picture and safeguard your wellbeing. 2 Extra Days Leave Per QuarterReo Days offer a chance to rest, recharge and sharpen your axe. When you're working hard we make sure you are getting extra time to recover. Mentoring and CoachingPersonal resilience, self-management and stress tolerance are all key skills of the future. Our mentoring program builds on these skills to help you level up. Grow to Thrive with us A business is only ever as good as its people. Grow to Thrive is Reo Group's yearly program that provides a framework for our team members to Reflect, Align, Grow and Thrive as individuals. We Celebrate TogetherCelebrations are a big part of village life. From our yearly offsite Success Conference and quarterly celebrations to informal Friday social catchups, rarely is an opportunity to have fun and socialise overlooked by the Reo Group team! ApplyIf this sounds like you, please send your resume by clicking the ""apply"" link below. The reference number for this role isCN40517. Please allow for 3 - 5 working days for us to process all the applications. All applicants will receive feedback from us, either via email or a telephone call.",Australia_Associate_dataFile,Unknown
JDRAW_00778,Sales Trainers and Coaches with Sales Leadership Experience (JAPAN/TAIWAN),"Infopro Learning, Inc",Australia,Sales / Business Development,Unknown,Director,Unknown,"Infopro Learning has immediate contract opportunities for experienced Sales Trainers and Executive Sales Coaches to support one of our top global Clients! Location: Remote - Japan, Taiwan, Germany, Spain, NetherlandsLanguages: Native speakers in Japanese, Mandarin, German, Spanish, Dutch WITH conversational English Utilization: 6-24 hours per month as needed (this is NOT a full-time job)Open roles:Sales Soft Skills TrainerExecutive Sales Coach PLEASE NOTE: There is no flexibility to the requirements for these roles. If you do not have the required experience as listed below, please do not apply. Job requirementsQualified candidates will be considered for multiple roles, based on specific role requirements. ALL candidates for ALL roles MUST HAVE:Direct experience in IT hardware sales - selling computers, printers, laptops B2B to large organizations.Led a Sales Team within IT hardware selling.Sold to Senior and C-suite Level Executives.A passion for helping Sales leaders improve their soft skills. Sales Soft Skills Trainers MUST ALSO HAVE:5+ years of Sales Soft Skills Training Facilitation experience.Facilitated Sales Soft Skills Training for Senior Sales Leaders.Led Virtual Sales Soft Skills Training sessions using Zoom or similar platform. Executive Sales Coaches MUST ALSO HAVE:Provided one-on-one Coaching to Senior Sales Leaders on a broad range of Sales competencies.Coaching certifications preferable",Australia_Director_dataFile,Unknown
JDRAW_00780,"Business Development Manager, Australia",JobTarget,Australia,Sales / Business Development,Unknown,Director,Unknown,"JobTarget is a leading company in the online job search and recruiting industry. Our team is comprised of experts in recruitment, ecommerce, and online job search. Our products are used by thousands of corporate recruiters and reach millions of job seekers. Our revenues are growing, and we are looking to expand internationally. The company values work life balance, rewarding risk and creativity, and an open culture.    About this role   We seek a Business Development Manager based in Australia to identify and grow new business opportunities, generate revenue, and help JobTarget grow in the Australia's market. This is a one-of-a-kind opportunity for a business professional with an entrepreneurial spirit, eager to build and manage a business in their home country of Australia.   Responsibilities    Research and understand the job board and recruiting markets: current and future trends, customer needs and pains, players and competitors, etc. Make recommendations to appropriately align the business Identify and research market opportunities and initiate development of services for employers, partner, ATS providers, Agencies, and/or other related and relevant audiences. Successfully prospect and complete presentations for all job board publishers, ATS and other vendors, including scope of opportunity and revenue outcomes Negotiate and coordinate partnerships with job board publishers, ATS and other vendors Attend and/or present at trade shows and meetings to create new relationships and develop existing relationships Attend sales and support calls with employers  Required Skills    Minimum of 6+ years of experience in sales, ad agency management or recruitment operations with demonstrated successes Excellent communication in English Experience using recruitment and social media tools is helpful Ability to participate effectively in a team environment both virtually and multiple on-site locations including partner sites Strong proficiency in the Microsoft Office Suite Need to be business savvy and highly strategic Strong oral and written communication skills Ability to work in a start-up, fast-paced, high-growth environment     PI183222540",Australia_Director_dataFile,Unknown
JDRAW_00782,CIB - Sales and Marketing - Future & Option Sales and Execution - Executive Director,JPMorgan Chase & Co.,Australia,Sales / Business Development,Unknown,Director,Unknown,"JPMorgan's Futures &amp; Options business is recognized as a dynamic market leader with a strong reputation in both the domestic and offshore markets. Providing the highest level of research, trading and clearing services to clients since 1979, the business offers fixed income, cash equity, foreign exchange and commodity related products. The Futures &amp; Options team maximize JPMorgan's diverse product lines as well as international markets to deliver an exceptional service to our clients.  As we continue to strive to grow our successful Futures &amp; Options franchise, there is a need for a highly driven individual to join the existing sales and execution team. This role will be responsible for order management and client execution as well as servicing and further broadening the firm's institutional client base.  Key Responsibilities  Management and execution of client orders across all major markets and asset classes  Manage existing client relationships and develop new ones with a view to leveraging our cross-product offering  Prepare regular market analysis for clients and generate trade ideas relevant to client needs to maximize our relationships  Prepare and present professional marketing material for senior management of our institutional client base  Work with our internal global partners both in the sales and execution function and in clearing to further develop our voice and electronic business  Qualifications/Experience  Minimum Bachelor's degree in a relevant field  6 years' financial markets experience in a front office sales or trading role  Experience with futures and options  Strong competence on dealing platforms and market practices as determined by regulators  Sound control processes and accuracy of execution  J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.  We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",Australia_Director_dataFile,Unknown
JDRAW_00788,Sales Specialist - GI - SA/TAS,Olympus Australia and New Zealand,Australia,Sales / Business Development,Unknown,Entry,Unknown,"About the Role    Here at Olympus, we have a unique and very rare opportunity for an experienced Sales Specialist to join our Medical Sales team in South Australia. In this role, you will manage and develop a territory covering Tasmania and South Australia, focusing on our GI, Respiratory, and Endoscopy portfolios combining capital and consumable medical sales.    Reporting to the Medical Sales Manager - South Australia, you will be someone who can hit the ground running showcasing your ability to educate, promote and drive sales of our GI and Respiratory portfolios across your territory. You will be committed to providing exceptional service to our customers and growing the visibility of our products in your territory.    Local and Interstate travel will be required 1-2 weeks per month depending on demand and your base location. The role Is flexible to be based in either South Australia or Tasmania.    Key Responsibilities:  Achieve sales results from the territory versus monthly budgets;Develop an in-depth understanding of the relevant product range in both operation and application;Develop a comprehensive understanding of the customer base making up the territory and have in place an updated territory plan at all times;Develop and execute a sales territory plan in line with the marketing strategies in place;Prepare weekly sales visits and ensure future activities are planned well in advance; andPrepare weekly activity reporting and territory sales forecasts.About Olympus:    Our purpose at Olympus is to make peoples' lives healthier, safer, and more fulfilling. We do this through innovation. As a technology pioneer, we design and deliver solutions across our Medical and Life-Science divisions that make a positive contribution to society.    Our products are used to capture the medical and diagnostic images of our world, from the microscopic to the endoscopic. They are instrumental in furthering scientific research, and in traveling inside the human body to help diagnose, treat and prevent illness.    Our commitment to customers and our social responsibility is the cornerstone of everything we do.    Why work at Olympus?    At Olympus, we are dedicated to fostering a high-performing culture, a collaborative environment, and enabling everyone to shine. Our common values of Integrity, Empathy, Long-Term View, Agility, and Unity form the foundation of our culture and guide our behavior, where our people feel like they are making a difference every single day.    Not only will you benefit from a meaningful, rewarding and challenging career, but you will also have access to a range of benefits:  A competitive salary package;Learning on demand;Flexible work arrangements (work from home, flexible hours, purchase additional leave);Health and Wellbeing initiatives (Corporate Games, Run 4 Kids, Free Bowel Cancer Screening tests, RUOK Day, and EAP);Home office allowance available for eligible roles upon commencement;Reward and Recognition Program 'Shining Stars';Dress for your day;Social events (Strategy forums, Annual Awards, and Christmas parties).What we are looking for:  Proven field sales/account management experience within the medical devices industry, including working within theatres essential:Experience working with a combination of Consumable and Capital equipment essential;Self-starter who can work independently and build effective long-lasting relationships with customers and stakeholders at different levels;Ability to work to KPIs and targets set with short deadlines;Ability to negotiate at all levels with a genuine desire to deliver service excellence at all times.Apply Now:    To submit your interest in this opportunity, select ""Apply for this job"".    Want to know more?    Confidential discussions are welcome; contact our Talent Manager - Kylie Sage at +61 479 188 042. A comprehensive Job Description is available on our Careers page.    In the meantime, follow us on:  LinkedIn - OlympusAustralia and New ZealandInstagram - @OlympusLIVECompany website - www.olympus.com.auNo Agency assistance is required at this time.    Olympus Australia is an Equal Opportunity Employer",Australia_Entry_dataFile,Unknown
JDRAW_00789,Full Time Customer Service & Sales Consultant MORNINGTON,Telstra,Australia,Sales / Business Development,Unknown,Entry,Unknown,"At Telstra, our purpose is to build a connected future so everyone can thrive. It's a future that won't happen on its own, it has to be delivered. And, this is where YOU come in, by playing your part in helping our customers connect: faster, better and smarter.    About the Role    Are you an experienced Customer Service &amp; Sales professional, who thrives working in a fast-paced and rewarding environment? If yes, then this role is for you!    Some of the specifics   Telstra Store Mornington, Shop 23, Mornington Central Shopping Centre, 78 Barkly St, Mornington VIC 3931  Full Time Position Available  Store Hours: Monday to Wednesday 9:00am - 5:30pm, Thursday &amp; Friday 9:00am - 7:00pm Saturday 9:00am - 5:00pm, Sunday 10:00am - 3:00pm  Duties   Provide quality customer service to all customers  Maximise sales by providing latest product and service information to our customers.  Achieve sales and performance targets  Ensure store presentation is in line with retail shop standards    Skills and experience   Experience in a customer facing role  Proven record of delivering great customer experiences  Ability to solve complex problems  Effective communication skills  Previous experience in a customer facing environment is highly advantageous!  Benefits   Fantastic career growth prospects  Ongoing Product Training &amp; Development  In Store Mentor and Support  Highly rewarding sales environment  Corporate discounts and benefits  How to apply    Click APPLY to submit your application, detailing which location you would like to apply for.    Within 3 hours you will receive a Video Interview and Assessment email from our partner, HireVue.    We must receive your completed Hirevue assessment before we can progress your application to the next stage, so please complete this as soon as possible.    Additional Details    This role requires the successful candidate to be vaccinated against Covid-19, to ensure the safety and wellbeing of our people and customers. However, please speak to us if you have any questions about this based on your individual circumstances.    We work flexibly at Telstra. Talk to us about how this job could be flexible for you.    We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.    To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive",Australia_Entry_dataFile,Unknown
JDRAW_00790,Casual Customer Service & Sales Consultant - RHODES,Telstra,Australia,Sales / Business Development,Unknown,Entry,Unknown,"Customer Service &amp; Sales Consultant - Telstra Store Rhodes    At Telstra, our purpose is to build a connected future so everyone can thrive. It's a future that won't happen on its own, it has to be delivered. And, this is where YOU come in, by playing your part in helping our customers connect: faster, better and smarter.    About the Role    Are you an experienced Customer Service &amp; Sales professional, who thrives working in a fast-paced and rewarding environment? If yes, then this role is for you!    Duties Provide quality customer service to all customers  Maximise sales by providing latest product and service information to our customers.  Achieve sales and performance targets  Ensure store presentation is in line with retail shop standards    Skills and experience Experience in a customer facing role  Proven record of delivering great customer experiences  Ability to solve complex problems  Effective communication skills  The ability to speak fluently in mandarin is highly advantageous!  Benefits   Variety of flexible working arrangements available including casual, part time or full-time positions dependent on your needs  Fantastic career growth prospects  Ongoing Product Training &amp; Development  In Store Mentor and Support  Highly rewarding sales environment  Corporate discounts and benefits  How to apply    Click APPLY to submit your application, detailing which location you would like to apply for.  Within 3 hours you will receive a Video Interview and Assessment email from our partner, HireVue.    We must receive your completed Hirevue assessment before we can progress your application to the next stage, so please complete this as soon as possible.    Additional Details    This role requires the successful candidate to be vaccinated against Covid-19, to ensure the safety and wellbeing of our people and customers. However, please speak to us if you have any questions about this based on your individual circumstances.    We work flexibly at Telstra. Talk to us about how this job could be flexible for you.    We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.    To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive.",Australia_Entry_dataFile,Unknown
JDRAW_00791,Casual Customer Service and Sales Consultant SMITHFIELD,Telstra,Australia,Sales / Business Development,Unknown,Entry,Unknown,"Connect with Telstra    We're all about helping our customers connect faster, better and smarter. And that's where you come in, to help us realise our vision to create a brilliantly connected future for everyone.    About the role    Working as part of our Smithfield store team, you will be the face and voice of Telstra! Talking to our new and existing customers, you will deliver personalised service and advice to uncover their individual needs and match them with great solutions.    On any given day, you could be sharing your knowledge about our services and the latest gadgets we have on offer, or chatting to a customer about international roaming offers to best suit their travel needs. You could even be kitting up a customer with wireless devices to keep them connected on the go - it's a job with plenty of challenge and variety to keep things interesting.    Some of the specifics Telstra Store in Smithfield: Shop 116A Smithfield Shopping Centre Cnr Captain Cook &amp; Kennedy Highway Smithfield QLD 4878Multiple Casual Positions AvailableStore Hours: Monday to Wednesday 9.00am - 5.30pm, Thursday 9.00am - 8.00pm, Friday 9.00am - 5.30pm, Saturday 9.00am - 4.00pm, Sunday 10.00am - 3.00pmMust have seven (7) day availabilityHospitality or Sales Background is a plusWhat you'll bring    To do well in joining our retail team, you will be confident, knowledgeable and resilient. You'll also show us your natural enthusiasm for working with people.    You'll be receptive to different personalities, and use varied approaches in your interactions with people. Success for us is all about happy customers, and that means going above and beyond to meet their needs!    Sounds like you?    If you have a passion for retail and can deliver a unique, memorable experience to our customers every time they enter our store - a job at Telstra is for you!    Additional Note:    This role requires the successful candidate to be vaccinated against Covid-19, to ensure the safety and wellbeing of our people and customers. However, please speak to us if you have any questions about this based on your individual circumstances.    We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.    To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive",Australia_Entry_dataFile,Unknown
JDRAW_00793,Part Time Customer Service & Sales Consultant SUNBURY,Telstra,Australia,Sales / Business Development,Unknown,Entry,Unknown,"At Telstra, our purpose is to build a connected future so everyone can thrive. It's a future that won't happen on its own, it has to be delivered. And, this is where YOU come in, by playing your part in helping our customers connect: faster, better and smarter.    About the Role    Are you an experienced Customer Service &amp; Sales professional, who thrives working in a fast-paced and rewarding environment? If yes, then this role is for you!    Some of the specifics   Telstra Store Sunbury - Shop T27, Sunbury Square Shopping Centre, 2-28 Evans Street, Sunbury VIC 3429  Store Hours: Monday to Wednesday 9:00am - 5:30pm, Thursday &amp; Friday 9:00am - 6:30pm, Saturday 9:00am - 5:00pm, Sunday 10:00am - 4:00pm  Part Time Position Available  Duties   Provide quality customer service to all customers  Maximise sales by providing latest product and service information to our customers.  Achieve sales and performance targets  Ensure store presentation is in line with retail shop standards    Skills and experience   Experience in a customer facing role  Proven record of delivering great customer experiences  Ability to solve complex problems  Effective communication skills  Previous experience in a customer facing environment is highly advantageous!  Benefits   Fantastic career growth prospects  Ongoing Product Training &amp; Development  In Store Mentor and Support  Highly rewarding sales environment  Corporate discounts and benefits  How to apply    Click APPLY to submit your application, detailing which location you would like to apply for.    Within 3 hours you will receive a Video Interview and Assessment email from our partner, HireVue.    We must receive your completed Hirevue assessment before we can progress your application to the next stage, so please complete this as soon as possible.    Additional Details    This role requires the successful candidate to be vaccinated against Covid-19, to ensure the safety and wellbeing of our people and customers. However, please speak to us if you have any questions about this based on your individual circumstances.    We work flexibly at Telstra. Talk to us about how this job could be flexible for you.    We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.    To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive.",Australia_Entry_dataFile,Unknown
JDRAW_00794,Customer Service & Sales Consultant MILDURA,Telstra,Australia,Sales / Business Development,Unknown,Entry,Unknown,"At Telstra, our purpose is to build a connected future so everyone can thrive. It's a future that won't happen on its own, it has to be delivered. And, this is where YOU come in, by playing your part in helping our customers connect: faster, better and smarter.    About the Role    Are you an experienced Customer Service &amp; Sales professional, who thrives working in a fast-paced and rewarding environment? If yes, then this role is for you!    Some of the specifics   Telstra Store Mildura - Shop T07, Mildura Central, Corner of Fifteenth St and Deakin Ave, Mildura VIC 3500  Multiple Part Time &amp; Full Time Positions Available  Store Hours: Monday to Friday 9:00am - 5:00pm, Saturday &amp; Sunday CLOSED  Duties   Provide quality customer service to all customers  Maximise sales by providing latest product and service information to our customers.  Achieve sales and performance targets  Ensure store presentation is in line with retail shop standards    Skills and experience   Experience in a customer facing role  Proven record of delivering great customer experiences  Ability to solve complex problems  Effective communication skills  Previous experience in a customer facing environment is highly advantageous!  Benefits   Fantastic career growth prospects  Ongoing Product Training &amp; Development  In Store Mentor and Support  Highly rewarding sales environment  Corporate discounts and benefits  How to apply    Click APPLY to submit your application, detailing which location you would like to apply for.    Within 3 hours you will receive a Video Interview and Assessment email from our partner, HireVue.    We must receive your completed Hirevue assessment before we can progress your application to the next stage, so please complete this as soon as possible.      Additional Details    This role requires the successful candidate to be vaccinated against Covid-19, to ensure the safety and wellbeing of our people and customers. However, please speak to us if you have any questions about this based on your individual circumstances.    We work flexibly at Telstra. Talk to us about how this job could be flexible for you.    We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.    To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive.                   Desired Skills and Experience  Deliver great customer service in our retail stores. Assist customers with product and pricing information. Multiple Part Time &amp; Full Time Positions Available.",Australia_Entry_dataFile,Unknown
JDRAW_00795,"Sales Representative - Utility Specialist, Milwaukee",Techtronic Industries Australia & New Zealand,Australia,Sales / Business Development,Unknown,Entry,Unknown,"Milwaukee Tools is an industry leader in the manufacture of cordless &amp; electric power tools, accessories, and hand tools. We pride ourselves on an unrelenting strategic focus on powerful brands, innovative products and exceptional people.    Our culture is centered around improving the lives of our users, something that not only drives our product development but underpins everything we do.    About the Role    We are currently recruiting for an energetic and confident Utility Specialist to create user demand for Milwaukee across all categories and understand the path to purchase. Maintain, support and service the end user to create the best user experience possible by offering solution-based selling. The territory will cover all areas within Tasmania.    Responsibilities:  Execute innovative sales strategies to convert users from existing brands to Milwaukee across all product categories.Hands on demonstrations with end users on project sitesNegotiating with Head Office staff with implementing system and standard purchasesRegularly report progress to the BDM on achievements to the planned strategy.Work closely with Vertical specialist to achieve best outcomes and mission alignment.Implement the user focused channel marketing strategies defined by the Channel Managers.Participate in sales events, state industry meetings, and social networks to represent company's brand.Have the willingness to learn and develop in line with the company's competency frameworkBe and promote being a high performing sales professional whilst being conscious of contributing to a fair work/life balanceSkills &amp; Experience:  Strong trade experienceSales experienceExperience in using the Microsoft Office SuiteStrong communication, and presentation skills.Why Milwaukee?  Our global company has made significant investment in learning and development opportunities.Supportive and dynamic team environment.Hybrid working environmentPaid parental leaveOur Milwaukee product range has been developed with innovative R&amp;D technologies.Generous discounts on our products.In addition, our values based operating style ensures that our employees are managed by exemplary leaders, who offer job flexibility, strong client base and training/career paths.If you fit the above attributes and are excited at the prospect of joining a large, successful, and dynamic organisation, then please click APPLY NOW!",Australia_Entry_dataFile,Unknown
JDRAW_00796,Product Sales Specialist,Onsite Rental Group,Australia,Sales / Business Development,Unknown,Entry,Unknown,"We are looking for the next sales super star to join our team as a Product Sales Specialist! About the businessOnsite Rental Group (Onsite) is a specialist B2B equipment rental business. We have over 30 years' experience in this industry, with 450+ employees, across 30+ branches and targeted co-locations. With more than 70,000+ pieces of equipment, our strategically placed national branch network ensures we can fulfill our customers' rental plant and machinery requirements wherever their next project is located, whilst remaining nimble enough to support local projects. About the roleIn this role you will be responsible for providing technical expertise, both internally and externally, and assisting to develop &amp; implement strategic sales plans for specific product line to drive revenue and profitability. Tasks &amp; Responsibilities:Provide specialist technical advice, both internally and externally, in relation to product line Interpret &amp; analyse customer requirements to determine most suitable product solution to meet customer needsPrepare and deliver technical presentations and demonstrations, internally and externally, to inform and educate in relation to product line Develop pricing &amp; sales strategy for product line in conjunction with regional sales, business development, operations and general management Prepare quotes and assist with tenders in relation to product lineForecast orders and asset requirements, liaising with relevant departments to ensure equipment availability and supply arrangementsMaximise asset utilisation and return on investment for product line, ensuring all associated objectives are achieved Act as point of contact for any pricing or performance issues of product line Prepare both routine and ad hoc sales reports &amp; forecasts in relation to product line Perform market research to identify new or enhanced sales opportunities for product line using relevant market data Differentiate product offering and develop and convey compelling value propositions to drive &amp; convert sales opportunities Update Customer Relationship Management (CRM) system to manage customer contact &amp; sales experienceAssist in the preparation of annual revenue &amp; capital expenditure budgets for product line Call on potential customers in person &amp; on the phone to generate sales opportunities, for not only specified product line but entire product range  Desired Skills and ExperienceSales or relevant operational experienceTechnical expertise in relevant product line Ability to professionally communicate &amp; present to individuals &amp; groupsProven ability to retain, grow &amp; attract new businessExceptional relationship building skillsStrong negotiation and influencing skills Sound internal &amp; external stakeholder management skills Strong customer and safety focusAbility to source and interpret information to formulate strategic plansSound computer skills &amp; ability to use systems  Benefits and PerksEmployee Recognition ProgramIncome Protection Insurance National career opportunitiesDiscounted Health InsuranceEmployee Assistance Program (EAP)  Onsite is committed to achieving a diverse and socially inclusive workforce. All candidates will be required to undergo background checks as part of our application process.",Australia_Entry_dataFile,Unknown
JDRAW_00797,Casual Customer Service & Sales Consultant - WAGGA WAGGA,Telstra,Australia,Sales / Business Development,Unknown,Entry,Unknown,"Customer Service &amp; Sales Consultant - Telstra Store Wagga Wagga    At Telstra, our purpose is to build a connected future so everyone can thrive. It's a future that won't happen on its own, it has to be delivered. And, this is where YOU come in, by playing your part in helping our customers connect: faster, better and smarter.    About the Role    Are you an experienced Customer Service &amp; Sales professional, who thrives working in a fast-paced and rewarding environment? If yes, then this role is for you!    Duties   Provide quality customer service to all customers  Maximise sales by providing latest product and service information to our customers.  Achieve sales and performance targets  Ensure store presentation is in line with retail shop standards    Skills and experience   Experience in a customer facing role  Proven record of delivering great customer experiences  Ability to solve complex problems  Effective communication skills  The ability to speak fluently in another language is highly advantageous!  Benefits   Variety of flexible working arrangements available including casual, part time or full-time positions dependent on your needs  Fantastic career growth prospects  Ongoing Product Training &amp; Development  In Store Mentor and Support  Highly rewarding sales environment  Corporate discounts and benefits  How to apply    Click APPLY to submit your application, detailing which location you would like to apply for.  Within 3 hours you will receive a Video Interview and Assessment email from our partner, HireVue.    We must receive your completed Hirevue assessment before we can progress your application to the next stage, so please complete this as soon as possible.    Additional Details    This role requires the successful candidate to be vaccinated against Covid-19, to ensure the safety and wellbeing of our people and customers. However, please speak to us if you have any questions about this based on your individual circumstances.    We work flexibly at Telstra. Talk to us about how this job could be flexible for you.    We're committed to building a diverse and inclusive workforce in all its forms. We encourage applicants from diverse gender, cultural and linguistic backgrounds and applicants who may be living with a disability. We also offer flexibility in all our roles, to ensure everyone can participate.    To learn more about how we support our people, including accessibility adjustments we can provide you through the recruitment process, visit tel.st/thrive.",Australia_Entry_dataFile,Unknown
JDRAW_00799,Sales Assistant,THOMPSON ESTATE,Australia,Sales / Business Development,Unknown,Entry,Unknown,The ideal candidate will be responsible for supporting our sales team. You will be a key contributor to our sales team's success. You will primarily be in charge of scheduling and preparing our sales team for important meetings and trade shows. You will provide outstanding customer service by liasoning between the sales team and the customer.  ResponsibilitiesAssist in creating sales material for sales preparation and success Coordinate scheduling with clients and sales team members Lead client correspondence Coordinate shipping and delivery Handle customer inquiries and issues QualificationsBachelor's Degree or equivalent experience Customer-service oriented Proficient in Microsoft Office,Australia_Entry_dataFile,Unknown
JDRAW_00800,Full Time Sales Assistant - Mt Gravatt,JD Sports Australia & New Zealand,Australia,Sales / Business Development,Unknown,Entry,Unknown,"Who We Are  Known best as the 'King of Trainers', JD Sports is a leading Multi-Channel Retailer of the biggest and best global Sports Fashion brands across footwear and apparel.  In 2017, JD Sports established itself in the Australian market and has since expanded to over 28 stores across NSW, VIC, QLD and WA.  With over 500 stores in a number of countries throughout Europe, USA, South East Asia and Australasia, we are proud of the fact that we provide our customers with the latest and greatest styles in a world class service environment.  About The Role  As a Sales Assistant you will be responsible for providing exceptional customer service to create a unique and memorable JD experience.  JD Sales Assistants are responsible for, however not limited to the following duties and responsibilities: Assist customers with queries, processing sales, returns and gift vouchersAssist your Department Managers and share product knowledge with customersEscalate any customer complaints to managementWork under the guidance and support of your Store Manager and overall team to achieve KPI's and targetsAd-hoc tasks as required and upkeep store presentation Who You Are Previous retail experience with a similar sports fashion retailerHighly energetic people person is essentialLoves sports fashion brands and is passionate about sharing knowledge with customersShows a sense of urgency and is results drivenAbility to work in a fast paced team environmentAbility to work Monday to Sunday including late night trade Our team will enjoy a fun, fast and supportive work environment where we encourage success and goal achievement, not to mention working with great people and some of the best sport fashion brands around.  If this sounds like you and you're ready to kick on an exciting adventure with JD Sports - Apply now!  Please note, by applying for this role you consent for us to complete a VEVO Check in order to verify your Australian Working Rights.",Australia_Entry_dataFile,Unknown
JDRAW_00801,Sales Staff,Sales Hero,Australia,Sales / Business Development,Unknown,Entry,Unknown,"Our Sales Superheroes (Client Relationship Consultants) are responsible for maximising sales revenue while gaining valuable business insights through making of tailored contact to customers.  By providing exceptional customer service to all clients (trials, existing members, and ex-members), your efforts achieve key objectives.  Do you possess the following experience and qualities? - People skills and a self-motivated work ethic - Able to work in fast paced environments under pressure  - Passion for delivering excellence in customer service - Outgoing and upbeat personality - Passion for the fitness industry  - Sales and/or marketing experience - Communication skills that allow you to effectively engage with prospective and existing clients  www.saleshero.me &amp; @SalesHeroMe for more information",Australia_Entry_dataFile,Unknown
