Phrase_ID,Source,Source_Record_ID,Company,Country,Industry,Job_Function,Position,Seniority,Phrase,Word_Count,Phrase_Type,Competency
P_007283,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"Managing Projects, University Degree in Business Administration, Professional commercial knowledge in financial management of complex projects.",16,Requirement,Neutral
P_004985,2021_10_08_11_02_Sales_dataFile,JDRAW_00683,mtu solutions,"Longsheng Various Nationalities Autonomous County, Guangxi Zhuang, China",Sales / Business Development,Sales and Business Development,Sr. Regional Sales Manager,Mid-Senior level,Maintain competitive product and pricing knowledge.,6,Requirement,Neutral
P_007321,Indonesia_Director_dataFile,JDRAW_01811,Robert Walters,Indonesia,Procurement / Sourcing / Supply Chain,Unknown,Procurement Director - Financial Services/Trade Finance,Director,Reporting into [Location].,3,Requirement,Neutral
P_006712,India_Director_dataFile,JDRAW_01438,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,Knowledge of associated risks and regulatory requirements.,7,Requirement,Neutral
P_006712,India_Director_dataFile,JDRAW_01438,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,Strong leadership and management abilities.,5,Skill,Agentic
P_008499,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Understands the [Location] security market and competitive landscape.,8,Requirement,Neutral
P_008499,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Can translate business strategy into sales growth.,7,Skill,Agentic
P_007268,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Synchronizes contract structure with tax and delegation concept.,8,Requirement,Neutral
P_022711,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Experience in Player Support (Customer Service).,6,Requirement,Neutral
P_020091,2021_10_09_12_59_Sales_dataFile,JDRAW_07019,Jobs via eFinancialCareers,"Singapore, Singapore",Sales / Business Development,Sales and Business Development,Asst Dir-Sales Strategist,Entry level,Strong teamwork and demonstrated leadership skills.,6,Skill,Communal
P_018144,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Supporting Sales and Operations in developing supply solutions to maintain fulfilment targets.,12,Requirement,Neutral
P_008110,Philippines_Entry_dataFile,JDRAW_02265,The Insights Shop,Philippines,Project Management / Programme Management,Unknown,Project Manager,Entry,Must have knowledge of Qualitative and Quantitative Research.,8,Requirement,Neutral
P_018322,2021_10_09_22_38_Sales_dataFile,JDRAW_06520,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Strong knowledge in Web and Digital Analytics.,7,Requirement,Neutral
P_018322,2021_10_09_22_38_Sales_dataFile,JDRAW_06520,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Aptitude to build and maintain strong working relationships.,8,Skill,Communal
P_020952,2021_10_09_16_33_Sales_dataFile,JDRAW_07251,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,private universities and overseas institutions,5,Requirement,Neutral
P_018154,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Monitoring the market for new best practice tools and techniques.,10,Requirement,Neutral
P_018154,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Expanding your own knowledge and skills.,6,Skill,Agentic
P_020944,2021_10_09_16_33_Sales_dataFile,JDRAW_07251,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,Understanding the Quality Management System and supply chain management.,9,Requirement,Neutral
P_018315,2021_10_09_22_38_Sales_dataFile,JDRAW_06520,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Establish a solid working relationship with multiple clients.,8,Skill,Communal
P_008500,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Fully own two of the main product categories including: Access Control and Fire.,13,Skill,Agentic
P_013906,2021_10_09_16_58_Sales_dataFile,JDRAW_05717,Michael Page,"Shanghai, Shanghai, China",Sales / Business Development,Sales and Business Development,Sales Director-Online and Offline Exposure (Meat),Director,Project management.,2,Requirement,Neutral
P_013906,2021_10_09_16_58_Sales_dataFile,JDRAW_05717,Michael Page,"Shanghai, Shanghai, China",Sales / Business Development,Sales and Business Development,Sales Director-Online and Offline Exposure (Meat),Director,Coordinate with internal teams.,4,Skill,Communal
P_018142,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Monitoring data accuracy and consistency of forecast adjustments.,8,Requirement,Neutral
P_007279,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"Experience in AC, Taxes, Treasury, Audit, RIC.",7,Requirement,Neutral
P_014883,2021_10_09_12_59_Sales_dataFile,JDRAW_05918,Unknown,"Singapore, Singapore",Sales / Business Development,Sales and Business Development,"Sales Development Representative, BytePlus",Entry level,Grading leads and distributing them to sales representatives in a timely manner.,12,Requirement,Neutral
P_022714,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Formal Project Management techniques or training.,6,Requirement,Neutral
P_001340,2021_10_09_06_44_Sales_dataFile,JDRAW_00146,Andor Technology,"Beijing, Beijing, China",Sales / Business Development,Sales and Business Development,Sales & Technical Application Specialist - North China,Entry level,Build key business partnerships.,4,Skill,Communal
P_014823,2021_10_10_15_21_Sales_dataFile,JDRAW_05906,Linio Group,"Shenzhen, Guangdong, China",Sales / Business Development,Sales and Business Development,CHINA-Key Account Manager,Mid-Senior level,"Fluent in oral and written English, Spanish will be a plus.",11,Requirement,Neutral
P_007277,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Ensures proper execution of all tasks with all relevant stakeholders.,10,Skill,Agentic
P_020946,2021_10_09_16_33_Sales_dataFile,JDRAW_07251,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,"Skills in Oracle, Glovia, or Sage systems.",7,Requirement,Neutral
P_022709,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Minimum 2 years of experience in Project Management or similar role in the Video Games or related industry.,18,Requirement,
P_020936,2021_10_09_16_33_Sales_dataFile,JDRAW_07247,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Purchasing Trainee (West Area),Internship,Sourcing of products from the marketplace.,6,Requirement,
P_004389,2021_10_09_09_30_Sales_dataFile,JDRAW_00554,Coca-Cola Beverages Florida,"Hollywood, FL",Sales / Business Development,Sales and Business Development,Field Sales Representative,Entry level,"Ability to repetitively lift, carry, and position objects weighing up to 50 pounds without assistance.",15,Requirement,
P_020172,2021_10_09_12_59_Sales_dataFile,JDRAW_07038,Unknown,"Singapore, Singapore",Sales / Business Development,Sales and Business Development,Sales Manager,Entry level,Provide input to the Content Development team based on customer and industry feedback.,13,Requirement,
P_011539,2021_10_09_06_09_Sales_dataFile,JDRAW_05310,Redlist,"Pleasant Grove, UT",Sales / Business Development,Sales and Business Development,Sales Development Intern,Internship,Growth mindset,2,Skill,Agentic
P_008501,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Creating strategic plans for the product category.,7,Requirement,
P_008501,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Developing growth and promotional programs to achieve budget objectives.,9,Requirement,Agentic
P_007273,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"Calculation, tax, insurances, currency.",4,Requirement,
P_007273,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Ensures communication of relevant commercial contractual obligations/conditions to the relevant project team members.,13,Requirement,Communal
P_007273,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"Member of the Change Management Authority (change control board) - review, approval, rejection of change requests.",16,Requirement,
P_022701,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Day-to-day management of Team Leadership.,5,Requirement,
P_022701,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Mentoring Team Leadership.,3,Skill,Communal
P_022701,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Conducting performance management of Team Leadership.,6,Requirement,
P_020735,2021_10_09_16_33_Sales_dataFile,JDRAW_07195,Unknown,"Singapore, Singapore",Sales / Business Development,Education and Training,Management Trainee (Business Development),Internship,Negotiate contracts with prospective clients.,5,Requirement,Agentic
P_006224,Egypt_Associate_dataFile,JDRAW_01179,Arrow Electronics,Egypt,Project Management / Programme Management,Unknown,Project Manager,Associate,Manage standard coverage reports.,4,Requirement,
P_001581,2021_10_10_15_21_Sales_dataFile,JDRAW_00166,Michael Page,"Beijing, Beijing, China",Sales / Business Development,Sales and Business Development,Senior Sales Manager - for a leading publishing company,Mid-Senior level,Experience in publishing industry.,4,Requirement,
P_018378,2021_10_09_22_38_Sales_dataFile,JDRAW_06546,Robert Half,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Accounting/Auditing and Finance,Controller (Business Controlling & Supply Chain),Director,Identify key risks and opportunities revolving around Supply Chain.,9,Skill,Agentic
P_018378,2021_10_09_22_38_Sales_dataFile,JDRAW_06546,Robert Half,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Accounting/Auditing and Finance,Controller (Business Controlling & Supply Chain),Director,Drive continuous improvement via regional projects and initiatives.,8,Skill,Agentic
P_023540,2021_10_09_14_59_Sales_dataFile,JDRAW_07830,Modern Hire,United States,Sales / Business Development,Sales and Business Development,Enterprise Business Development Representative,Mid-Senior level,Engage and inspire others.,4,Skill,Agentic
P_022715,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Excellent written and verbal communication skills in English and Chinese.,10,Requirement,Agentic
P_006710,India_Director_dataFile,JDRAW_01438,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,"Manage controls framework, reporting and escalation for transaction execution.",9,Requirement,
P_008161,Philippines_Mid-Senior_dataFile,JDRAW_02311,Carousell Group,Philippines,Procurement / Sourcing / Supply Chain,Unknown,Category Manager (Autos),Mid-Senior,Attuned to the needs of our users,7,Skill,Communal
P_008161,Philippines_Mid-Senior_dataFile,JDRAW_02311,Carousell Group,Philippines,Procurement / Sourcing / Supply Chain,Unknown,Category Manager (Autos),Mid-Senior,Break down and solve complex business problems,7,Skill,Agentic
P_018150,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Delivering world class business and change management consulting to senior management within client organisations.,14,Requirement,Neutral
P_007276,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"Ensures proper handling of bank accounts including petty cash, if applicable",11,Requirement,Neutral
P_007276,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Manage project team,3,Skill,Agentic
P_007276,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Agrees targets and work packages with commercial project staff,9,Skill,Agentic
P_007276,Indonesia_Associate_dataFile,JDRAW_01787,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,Holds meetings and seeks actively feedback,6,Skill,Communal
P_002711,2021_10_10_07_00_Sales_dataFile,JDRAW_00302,endpoint Clinical,China,Sales / Business Development,Business Development and Sales,"Manager, APAC Business Development",Associate,"The Manager, [Location] Business Development will primarily focus on identifying, developing and winning [Location] new business opportunities.",17,Requirement,Neutral
P_014854,2021_10_09_12_59_Sales_dataFile,JDRAW_05915,Enthof,Singapore,Sales / Business Development,Unknown,Independent Sales Contractor,Unknown,Please apply with your resume,5,Requirement,Neutral
P_014854,2021_10_09_12_59_Sales_dataFile,JDRAW_05915,Enthof,Singapore,Sales / Business Development,Unknown,Independent Sales Contractor,Unknown,Work to bring sales for [Company],6,Skill,Agentic
P_004032,2021_10_09_06_09_Sales_dataFile,JDRAW_00501,NorthPoint Search Group,"Greensboro, NC",Sales / Business Development,Sales and Business Development,Sales Specialist,Internship,Assist sales and marketing with selected trade show coordination and requested administrative tasks.,13,Requirement,Neutral
P_009606,2021_10_08_23_43_Sales_dataFile,JDRAW_04881,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,Coordinate people and processes to ensure that our projects are delivered on time and produce the desired results,18,Skill,Agentic
P_007427,Ireland_Director_dataFile,JDRAW_01929,Cpl,Ireland,Procurement / Sourcing / Supply Chain,Unknown,Credit Controller - 3 Month Contract,Director,Reconciliation of customer accounts to ensure clean aged debt report. Order release in accordance with the company policy.,18,Requirement,Neutral
P_020951,2021_10_09_16_33_Sales_dataFile,JDRAW_07251,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,"Graduated or graduating in calendar year 2019 to 2021 from ITEs, polytechnics, universities, or other educational institutions",17,Requirement,Neutral
P_020938,2021_10_09_16_33_Sales_dataFile,JDRAW_07247,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Purchasing Trainee (West Area),Internship,Prepare Sales quotations and submit to customers on time.,9,Requirement,Neutral
P_008507,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,"Experience as a professional product/category manager in retail, e-tail/catalog, distribution or similar environment.",13,Requirement,Neutral
P_004835,2021_10_10_15_21_Sales_dataFile,JDRAW_00642,Umbratek Technology Ltd,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales And Marketing Specialist,Unknown,Drive traffic to increase sales.,5,Skill,Agentic
P_018153,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Analysing procurement & supply chain processes,6,Requirement,Neutral
P_018153,2021_10_09_22_38_Sales_dataFile,JDRAW_06491,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Developing optimised concepts for presentation to the client,8,Skill,Agentic
P_003111,2021_10_09_17_03_Sales_dataFile,JDRAW_00364,Holiday Inn,"Dallas, TX",Sales / Business Development,Sales and Business Development,Director of Sales,Director,Previous Director of Sales experience in a full service or select service property.,13,Requirement,Neutral
P_005506,Argentina_Executive_dataFile,JDRAW_00757,Translation Back Office,Argentina,Sales / Business Development,Unknown,Sales Support - CG,Executive,"Ability to comprehend, analyze, and interpret language industry related requests.",10,Skill,Agentic
P_008273,Romania_Associate_dataFile,JDRAW_02363,Bosch Romania,Romania,Project Management / Programme Management,Unknown,Project Manager,Associate,Defines the timeline and work packages for different departments involved internally.,11,Skill,Agentic
P_018318,2021_10_09_22_38_Sales_dataFile,JDRAW_06520,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Working with the delivery team to be the first line of support in the running of accounts.,17,Skill,Communal
P_021440,2021_10_09_19_55_Sales_dataFile,JDRAW_07414,Siemens,"Singapore, Singapore",Sales / Business Development,"Sales, Business Development, and Product Management",Service and Sales Technical Specialist,Mid-Senior level,Specify components to be used in the Automation systems and interface with customers / vendors,15,Requirement,Neutral
P_021440,2021_10_09_19_55_Sales_dataFile,JDRAW_07414,Siemens,"Singapore, Singapore",Sales / Business Development,"Sales, Business Development, and Product Management",Service and Sales Technical Specialist,Mid-Senior level,Responsible for programming automation and controls systems involving PLCs,9,Requirement,Neutral
P_008552,South_Africa_Mid-Senior_dataFile,JDRAW_02572,NTT Ltd.,South Africa,Sales / Business Development,Unknown,"Specialist, Group Sales Training",Mid-Senior,Accountable for the design and management of the global sales training calendar.,12,Responsibility,Neutral
P_019300,2021_10_09_12_59_Sales_dataFile,JDRAW_06832,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,Time split between Category Management.,5,Responsibility,Neutral
P_019300,2021_10_09_12_59_Sales_dataFile,JDRAW_06832,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,Time split between Merchandising.,4,Responsibility,Neutral
P_019300,2021_10_09_12_59_Sales_dataFile,JDRAW_06832,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,Time split between Supply Chain.,5,Responsibility,Neutral
P_008510,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Experience generating tactical and strategic category roadmaps and detailed plans including annual and 5-year plans.,15,Requirement,Neutral
P_006603,Hong_Kong_Executive_dataFile,JDRAW_01349,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,Preparing and reviewing of transaction memos.,6,Responsibility,Neutral
P_006603,Hong_Kong_Executive_dataFile,JDRAW_01349,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,Preparing and reviewing of legal documentation.,6,Responsibility,Neutral
P_006603,Hong_Kong_Executive_dataFile,JDRAW_01349,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,Preparing and reviewing of marketing material.,6,Responsibility,Neutral
P_006603,Hong_Kong_Executive_dataFile,JDRAW_01349,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,Participating in credit committees.,4,Responsibility,Neutral
P_007428,Ireland_Director_dataFile,JDRAW_01929,Cpl,Ireland,Procurement / Sourcing / Supply Chain,Unknown,Credit Controller - 3 Month Contract,Director,Ability to prioritise workloads in accordance with business needs.,9,Skill,Agentic
P_022700,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Planning project strategies.,3,Responsibility,Neutral
P_022700,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Applying project strategies.,3,Responsibility,Neutral
P_022700,2021_10_09_03_13_Sales_dataFile,JDRAW_07632,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Adapting project strategies with the support of the Team Leads.,10,Responsibility,Neutral
P_008447,Saudi_Arabia_Director_dataFile,JDRAW_02434,Arbete Careers,Saudi Arabia,Sales / Business Development,Unknown,Senior Sales Supervisor,Director,Gross salary: [Salary].,3,Other,Neutral
P_008447,Saudi_Arabia_Director_dataFile,JDRAW_02434,Arbete Careers,Saudi Arabia,Sales / Business Development,Unknown,Senior Sales Supervisor,Director,Minimum 2 years experience.,4,Requirement,Neutral
P_008447,Saudi_Arabia_Director_dataFile,JDRAW_02434,Arbete Careers,Saudi Arabia,Sales / Business Development,Unknown,Senior Sales Supervisor,Director,Position of Senior Sales Supervisor for our client in the Oil & Gas industry.,14,Other,Neutral
P_020521,2021_10_09_12_59_Sales_dataFile,JDRAW_07128,Unknown,"Singapore, Singapore",Sales / Business Development,Business Development,B2B Business Development Associate (B2B Sales and Marketing),Entry level,Acquire new clients.,3,Responsibility,Neutral
P_020521,2021_10_09_12_59_Sales_dataFile,JDRAW_07128,Unknown,"Singapore, Singapore",Sales / Business Development,Business Development,B2B Business Development Associate (B2B Sales and Marketing),Entry level,Maintain existing customers.,3,Responsibility,Neutral
P_020521,2021_10_09_12_59_Sales_dataFile,JDRAW_07128,Unknown,"Singapore, Singapore",Sales / Business Development,Business Development,B2B Business Development Associate (B2B Sales and Marketing),Entry level,Perform lead generation to acquire new accounts.,7,Responsibility,Neutral
P_020521,2021_10_09_12_59_Sales_dataFile,JDRAW_07128,Unknown,"Singapore, Singapore",Sales / Business Development,Business Development,B2B Business Development Associate (B2B Sales and Marketing),Entry level,Perform canvassing to acquire new accounts.,6,Responsibility,Neutral
P_010184,2021_10_09_17_03_Sales_dataFile,JDRAW_05082,Connect Search,"New Jersey, United States",Sales / Business Development,Sales and Business Development,Global Sales Director,Director,Global Sales Director to execute the commercial strategy in this specialist Ingredients portfolio.,13,Responsibility,Neutral
P_022122,2021_10_09_09_30_Sales_dataFile,JDRAW_07510,BarBak Hospitality,"Charleston, SC",Sales / Business Development,Unknown,Outside Sales Representative,Unknown,Determine product/service value delivered throughout customer operations.,7,Responsibility,Neutral
P_022122,2021_10_09_09_30_Sales_dataFile,JDRAW_07510,BarBak Hospitality,"Charleston, SC",Sales / Business Development,Unknown,Outside Sales Representative,Unknown,Effectively communicate value to customers to promote new business and sales.,11,Responsibility,Agentic
P_012729,2021_10_09_16_58_Sales_dataFile,JDRAW_05518,BMMP,"Shanghai, China",Sales / Business Development,Business Development and Sales,Director Of Business Development,Director,"Build, grow and manage BD team.",6,Responsibility,Neutral
P_021516,2021_10_09_09_30_Sales_dataFile,JDRAW_07422,Unknown,United States,Sales / Business Development,Unknown,Sales Representative,Unknown,Capable of making 50 calls per hour.,7,Requirement,Neutral
P_008504,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Work with [Company] leadership team.,5,Responsibility,Communal
P_008504,South_Africa_Director_dataFile,JDRAW_02503,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,"Clearly communicating new opportunities, new products or suppliers.",8,Responsibility,Agentic
