Phrase_ID,Source_Record_ID,Source,Company,Country,Industry,Job_Function,Position,Seniority,Phrase,Word_Count
P_019301,JDRAW_06832,2021_10_09_12_59_Sales_dataFile,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,Opportunities to meet like-minded people and practice sports at work Generous staff discount across all brands Medical and insurance benefits Local and Global opportunities for career/ zig-zag progression and/or specialization (You decide your own career path!),32
P_018375,JDRAW_06546,2021_10_09_22_38_Sales_dataFile,Robert Half,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Accounting/Auditing and Finance,Controller (Business Controlling & Supply Chain),Director,The Company My client is an established Petrochemical company and an industry leader - hiring a FP&A talent to support Supply Chain and Business Controlling portfolio.,26
P_001340,JDRAW_00146,2021_10_09_06_44_Sales_dataFile,Andor Technology,"Beijing, Beijing, China",Sales / Business Development,Sales and Business Development,Sales & Technical Application Specialist - North China,Entry level,Travel as required across China and to UK to build key business partnerships.,13
P_007967,JDRAW_02199,Norway_Entry_dataFile,Quorum Software,Norway,Procurement / Sourcing / Supply Chain,Unknown,Contracts Administrator,Entry,"From emerging companies to supermajors, throughout every region of the globe, customers rely on Quorum's proven innovation and unmatched global expertise to streamline business operations and make data-driven decisions that optimize profitability and growth.",33
P_014823,JDRAW_05906,2021_10_10_15_21_Sales_dataFile,Linio Group,"Shenzhen, Guangdong, China",Sales / Business Development,Sales and Business Development,CHINA-Key Account Manager,Mid-Senior level,"Fluent in oral and written English, Spanish will be a plus.",11
P_007277,JDRAW_01787,Indonesia_Associate_dataFile,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"HR, Quality Management, EHS, customers, suppliers, consortium partners # Ensures proper execution of all tasks with all relevant stakeholders, i.e.",18
P_020946,JDRAW_07251,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,Trainee will have the opportunity to learn and/or sharpen their skills in Oracle / Glovia/ Sage system.,14
P_022709,JDRAW_07632,2021_10_09_03_13_Sales_dataFile,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Requirements Minimum 2 years of experience in Project Management or similar role in the Video Games or related industry.,19
P_007964,JDRAW_02199,Norway_Entry_dataFile,Quorum Software,Norway,Procurement / Sourcing / Supply Chain,Unknown,Contracts Administrator,Entry,"Do you enjoy working in a fast-paced, international and dynamic environment?",10
P_020936,JDRAW_07247,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Purchasing Trainee (West Area),Internship,Role Description & Specific Responsibilities Sourcing of products from the marketplace.,10
P_008162,JDRAW_02311,Philippines_Mid-Senior_dataFile,Carousell Group,Philippines,Procurement / Sourcing / Supply Chain,Unknown,Category Manager (Autos),Mid-Senior,This role will report to the Philippines General Manager.,9
P_004389,JDRAW_00554,2021_10_09_09_30_Sales_dataFile,Coca-Cola Beverages Florida,"Hollywood, FL",Sales / Business Development,Sales and Business Development,Field Sales Representative,Entry level,"Physical Abilities Ability to repetitively lift, carry, and position objects weighing up to 50 pounds without assistance.",17
P_020172,JDRAW_07038,2021_10_09_12_59_Sales_dataFile,Unknown,"Singapore, Singapore",Sales / Business Development,Sales and Business Development,Sales Manager,Entry level,Provide input to the Content Development team based on customer and industry feedback.,13
P_009887,JDRAW_04936,2021_10_08_23_43_Sales_dataFile,adidas,"Moscow, Moscow, Russia",Procurement / Sourcing / Supply Chain,Quality Assurance and Supply Chain,Brigadier,Not Applicable,"Barantsevskoe Full compliance with the labor code of the Russian Federation: official registration, white wages, paid sick leave and vacations (including training) Shift work schedule: 2 days/ 2 nights/ 4 days off.",30
P_008516,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,Our people make Resideo a special company and are a key competitive advantage.,13
P_008155,JDRAW_02311,Philippines_Mid-Senior_dataFile,Carousell Group,Philippines,Procurement / Sourcing / Supply Chain,Unknown,Category Manager (Autos),Mid-Senior,"As a team of passionate individuals working together to solve meaningful problems, there is so much more for you to discover in a career with Carousell.",26
P_011539,JDRAW_05310,2021_10_09_06_09_Sales_dataFile,Redlist,"Pleasant Grove, UT",Sales / Business Development,Sales and Business Development,Sales Development Intern,Internship,"WE ARE FAITHFUL: We expect you to have a growth mindset and the belief that you and all of us, can do more and be better.",26
P_008501,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,"- Creating strategic plans for the product category, including growth and promotional programs to achieve budget objectives.",16
P_007273,JDRAW_01787,Indonesia_Associate_dataFile,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"calculation, tax, insurances, currency # Ensures communication of relevant commercial contractual obligations/conditions to the relevant project team members # Member of the Change Management Authority (change control board) - review, approval, rejection of change requests incl.",32
P_007972,JDRAW_02199,Norway_Entry_dataFile,Quorum Software,Norway,Procurement / Sourcing / Supply Chain,Unknown,Contracts Administrator,Entry,"Twenty years ago, we built the first software for gas plant accountants.",12
P_022701,JDRAW_07632,2021_10_09_03_13_Sales_dataFile,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Day-to-day management and mentoring and conducting performance management of Team Leadership.,10
P_020735,JDRAW_07195,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Sales / Business Development,Education and Training,Management Trainee (Business Development),Internship,Negotiate contracts with prospective clients.,5
P_006224,JDRAW_01179,Egypt_Associate_dataFile,Arrow Electronics,Egypt,Project Management / Programme Management,Unknown,Project Manager,Associate,Position: Project Manager Job Description: Manage standard coverage reports.,9
P_001581,JDRAW_00166,2021_10_10_15_21_Sales_dataFile,Michael Page,"Beijing, Beijing, China",Sales / Business Development,Sales and Business Development,Senior Sales Manager - for a leading publishing company,Mid-Senior level,Experience in publishing industry will be a plus.,8
P_018378,JDRAW_06546,2021_10_09_22_38_Sales_dataFile,Robert Half,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Accounting/Auditing and Finance,Controller (Business Controlling & Supply Chain),Director,"You will also identify key risks and opportunities revolving around Supply Chain, and drive continuous improvement via regional projects and initiatives.",21
P_007973,JDRAW_02199,Norway_Entry_dataFile,Quorum Software,Norway,Procurement / Sourcing / Supply Chain,Unknown,Contracts Administrator,Entry,"Pipeline operators came next, followed by land administrators, pumpers, and planners.",11
P_011089,JDRAW_05232,2021_10_09_06_09_Sales_dataFile,Gravitational Marketing,"Orlando, FL",Sales / Business Development,Sales and Business Development,Sales Intern,Internship,Do you want to gain experience with a fun and energetic advertising agency?,13
P_006321,JDRAW_01229,Finland_Mid-Senior_dataFile,Sofigate,Finland,Project Management / Programme Management,Unknown,SAP Project Managers,Mid-Senior,Would you like to be part of the ongoing business technology revolution?,12
P_023540,JDRAW_07830,2021_10_09_14_59_Sales_dataFile,Modern Hire,United States,Sales / Business Development,Sales and Business Development,Enterprise Business Development Representative,Mid-Senior level,Are you able to engage and inspire others?,8
P_018136,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,"With previous investments in tobacco, the company has recent large scale developments in real estate investments, casinos and software engineering in Cambodia.",22
P_022715,JDRAW_07632,2021_10_09_03_13_Sales_dataFile,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Excellent written and verbal communication skills in English and Chinese.,10
P_006710,JDRAW_01438,India_Director_dataFile,JPMorgan Chase & Co.,India,Project Management / Programme Management,Unknown,"Vice President - Manager - Credit Product Delivery India, Wholesale Lending Services Asia Pacific",Director,"Manage controls framework, reporting and escalation for transaction execution",9
P_006601,JDRAW_01349,Hong_Kong_Executive_dataFile,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,"excluding partnerships At BNP Paribas, we passionately embrace diversity and are committed to fostering an inclusive workplace where all employees are valued, respected and can bring their authentic selves to work.",31
P_008161,JDRAW_02311,Philippines_Mid-Senior_dataFile,Carousell Group,Philippines,Procurement / Sourcing / Supply Chain,Unknown,Category Manager (Autos),Mid-Senior,This person should be attuned to the needs of our users and be able to break down and solve complex business problems.,22
P_018150,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Delivering world class business and change management consulting to senior management within client organisations.,14
P_007276,JDRAW_01787,Indonesia_Associate_dataFile,Siemens,Indonesia,Project Management / Programme Management,Unknown,Commercial Project Manager,Associate,"Compliance, Legal Units, HR), if required # Ensures proper handling of bank accounts including petty cash 'Baukasse', if applicable Manage project team # Agrees targets and work packages with commercial project staff # Holds meetings and seeks actively feedback (e.g.",35
P_002711,JDRAW_00302,2021_10_10_07_00_Sales_dataFile,endpoint Clinical,China,Sales / Business Development,Business Development and Sales,"Manager, APAC Business Development",Associate,"Position Overview The Manager, APAC Business Development will primarily focus on identifying, developing and winning APAC new business opportunities.",19
P_014854,JDRAW_05915,2021_10_09_12_59_Sales_dataFile,Enthof,Singapore,Sales / Business Development,Unknown,Independent Sales Contractor,Unknown,Please apply with your resume and let us know how you will work to bring sales for Enthof.,18
P_004032,JDRAW_00501,2021_10_09_06_09_Sales_dataFile,NorthPoint Search Group,"Greensboro, NC",Sales / Business Development,Sales and Business Development,Sales Specialist,Internship,Assist sales and marketing with selected trade show coordination and requested administrative tasks.,13
P_009606,JDRAW_04881,2021_10_08_23_43_Sales_dataFile,TikTok,"Moscow, Moscow City, Russia",Project Management / Programme Management,Project Management and Information Technology,Project Manager,Mid-Senior level,Coordinate people and processes to ensure that our projects are delivered on time and produce the desired results,18
P_006599,JDRAW_01349,Hong_Kong_Executive_dataFile,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,"Worldwide, BNP Paribas has a presence in 68 markets with more than 193,000 employees.",13
P_007427,JDRAW_01929,Ireland_Director_dataFile,Cpl,Ireland,Procurement / Sourcing / Supply Chain,Unknown,Credit Controller - 3 Month Contract,Director,Reconciliation of customer accounts to ensure clean aged debt report Order release in accordance with the company policy.,18
P_020951,JDRAW_07251,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Management and Manufacturing,Supply Chain Trainee #SGUnitedTraineeship #SGUT,Internship,"For Recent Graduates, Please Note The Below Requirement Graduated or graduating in calendar year 2019 to 2021 from ITEs, polytechnics, universities, or other educational institutions (e.g.",25
P_020938,JDRAW_07247,2021_10_09_16_33_Sales_dataFile,Unknown,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Purchasing Trainee (West Area),Internship,Prepare Sales quotations and submit to customers on time.,9
P_011018,JDRAW_05218,2021_10_09_09_30_Sales_dataFile,"Millennium Recruiting, Inc.","Oklahoma City, OK",Sales / Business Development,"Sales, Marketing, and Customer Service",Entry Level Sales Representative,Entry level,At SAFinc we are all of the above!,8
P_008507,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,"YOU MUST HAVE - Experience as a professional product/category manager in retail, e-tail/catalog, distribution or similar environment.",14
P_004835,JDRAW_00642,2021_10_10_15_21_Sales_dataFile,Umbratek Technology Ltd,"Shenzhen, Guangdong, China",Sales / Business Development,Unknown,Sales And Marketing Specialist,Unknown,to drive traffic to increase sales.,6
P_022725,JDRAW_07632,2021_10_09_03_13_Sales_dataFile,Keywords Studios,"St Petersburg, St Petersburg City, Russia",Project Management / Programme Management,Project Management,Chinese speaking Customer Support Project Manager - Video Games,Mid-Senior level,Relocation Assistance available in certain cases.,6
P_017521,JDRAW_06413,2021_10_09_22_38_Sales_dataFile,Unknown,"Singapore, Singapore",Sales / Business Development,Business Development and Sales,Channels and Alliances Director,Director,Interview Process: Health and safety remain a top priority for all of our roles.,14
P_018153,JDRAW_06491,2021_10_09_22_38_Sales_dataFile,White Sand Group,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,Purchasing and Supply Chain,Procurement Director,Director,Analysing procurement & supply chain processes together with your counterparts and developing optimised concepts for presentation to the client.,18
P_003111,JDRAW_00364,2021_10_09_17_03_Sales_dataFile,Holiday Inn,"Dallas, TX",Sales / Business Development,Sales and Business Development,Director of Sales,Director,The ideal candidate should have previous Director of Sales experience in a full service or select service property.,18
P_019295,JDRAW_06832,2021_10_09_12_59_Sales_dataFile,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,"About the Company Decathlon, Europe's leading sports retailer, is recruiting passionate sports people for its expansion in Singapore and the SEA region.",22
P_005506,JDRAW_00757,Argentina_Executive_dataFile,Translation Back Office,Argentina,Sales / Business Development,Unknown,Sales Support - CG,Executive,"Ability to comprehend, analyze, and interpret language industry related requests.",10
P_008273,JDRAW_02363,Romania_Associate_dataFile,Bosch Romania,Romania,Project Management / Programme Management,Unknown,Project Manager,Associate,"Defines the timeline and work packages for different departments involved internally (QMM, TEF, ENG, etc.)",15
P_018318,JDRAW_06520,2021_10_09_22_38_Sales_dataFile,"Happy Marketer, A Merkle Company","Singapore, Singapore",Project Management / Programme Management,Information Technology,"Director, Delivery",Director,Working with the delivery team to be the first line of support in the running of accounts.,17
P_006226,JDRAW_01179,Egypt_Associate_dataFile,Arrow Electronics,Egypt,Project Management / Programme Management,Unknown,Project Manager,Associate,"Location: EG-Banha, Egypt (EI Corniche Street) Time Type: Full time Job Category: Engineering and Technology",14
P_021440,JDRAW_07414,2021_10_09_19_55_Sales_dataFile,Siemens,"Singapore, Singapore",Sales / Business Development,"Sales, Business Development, and Product Management",Service and Sales Technical Specialist,Mid-Senior level,Specify components to be used in the Automation systems and interface with customers / vendors Responsible for programming automation and controls systems involving PLCs (programmable logic controllers).,26
P_008552,JDRAW_02572,South_Africa_Mid-Senior_dataFile,NTT Ltd.,South Africa,Sales / Business Development,Unknown,"Specialist, Group Sales Training",Mid-Senior,This individual is accountable for the design and management of the global sales training calendar,15
P_009992,JDRAW_04969,2021_10_09_02_45_Sales_dataFile,Canonical,"Moscow, Moscow, Russia",Project Management / Programme Management,Project Management and Information Technology,Technical Engagement Project Manager,Associate,We are committed to ensuring equal employment opportunities to all qualified individuals.,12
P_012731,JDRAW_05519,2021_10_09_16_58_Sales_dataFile,LEON CYCLE,"Shanghai, China",Procurement / Sourcing / Supply Chain,Management and Supply Chain,APAC Supply Chain Manager,Director,"With strong growth and expansions in place, we are now seeking a Supply Chain Director.",15
P_019297,JDRAW_06832,2021_10_09_12_59_Sales_dataFile,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,Join our purpose and let's make sports accessible to the many!,11
P_019300,JDRAW_06832,2021_10_09_12_59_Sales_dataFile,Decathlon Singapore,"Singapore, Singapore",Procurement / Sourcing / Supply Chain,"Product Management, Supply Chain, and Strategy/Planning",Regional Category Manager (SEA),Entry level,"Your time will be split evenly between Category Management, Merchandising and Supply Chain.",13
P_007425,JDRAW_01929,Ireland_Director_dataFile,Cpl,Ireland,Procurement / Sourcing / Supply Chain,Unknown,Credit Controller - 3 Month Contract,Director,"You will have the strength of a global market leader behind you as you make an impact in an open, collaborative culture.",22
P_008510,JDRAW_02503,South_Africa_Director_dataFile,Resideo,South Africa,Procurement / Sourcing / Supply Chain,Unknown,Access Control & Fire Category Manager,Director,- Experience generating tactical and strategic category roadmaps and detailed plans including annual and 5-year plans.,14
P_011187,JDRAW_05246,2021_10_09_06_09_Sales_dataFile,"Orbit Energy & Power, LLC","Owings Mills, MD",Sales / Business Development,Marketing and Sales,Outside Sales/Marketing Representative,Internship,You are the front line of bringing clean renewable energy to homeowners!,12
P_006603,JDRAW_01349,Hong_Kong_Executive_dataFile,BNP Paribas,Hong Kong,Procurement / Sourcing / Supply Chain,Unknown,"Vice President, Transaction Banking - Supply Chain Management",Executive,"Preparing / reviewing of transaction memos, legal documentation, marketing material.Participating in credit committees.",11
