Analysis_Step,Model_Provider,Model_Name,Outcome,Prompt_Version,Formula,CV_framing,Seniority_level,Mean,Std,Median
Step_2a,openai,gpt-4.1-mini,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.730965277777778,0.5389808145564782,3.0
Step_2a,openai,gpt-4.1-mini,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.5980069444444447,0.5099531787978744,3.0
Step_2a,openai,gpt-4.1-mini,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.5432916666666667,0.5257708841169592,3.0
Step_2a,openai,gpt-4.1-mini,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.3004930555555556,0.4597111746450225,2.0
Step_2a,openai,gpt-4.1-mini,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.047222222222222,0.27747106841511965,3.0
Step_2a,openai,gpt-4.1-mini,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.6729166666666666,0.547242598334185,3.0
Step_2a,openai,gpt-4.1-mini,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.9659722222222222,0.2781511466477134,3.0
Step_2a,openai,gpt-4.1-mini,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.375,0.5189260305249278,2.0
Step_2a,openai,gpt-4.1-mini,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.2694444444444444,0.4438253351417187,3.0
Step_2a,openai,gpt-4.1-mini,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.1166666666666667,0.3211341956985848,3.0
Step_2a,openai,gpt-4.1-mini,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.578472222222222,0.4939752653865191,4.0
Step_2a,openai,gpt-4.1-mini,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.3409722222222222,0.47420072022705284,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.026388888888889,0.6929593416761746,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.5375,0.8598749848530853,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.717361111111111,0.7511704891025457,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.0597222222222222,0.8794084375657149,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.7993055555555557,0.4678691405726365,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.5493055555555557,0.5115071311417506,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.546527777777778,0.5049323356432043,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.272222222222222,0.4575738121106331,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.9256944444444444,0.7470345848691724,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.35625,0.941751709390737,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.576388888888889,0.7976673872937675,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.9368055555555554,0.8858588313297224,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.984722222222222,0.70521924441169,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.5229166666666667,0.8603875163255125,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.629861111111111,0.7529031013822678,4.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.0347222222222223,0.8736207789338066,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.2034652777777777,0.5188680470197888,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.2219583333333333,0.7032651326267993,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.0898611111111114,0.4929170114132087,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,1.9039583333333332,0.6474546503983479,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.8986111111111112,0.5794711484010246,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.6458333333333335,0.714864998893849,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.6104166666666666,0.6059949233418148,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.2895833333333333,0.6522765766552503,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.4722222222222223,0.5007908192809514,2.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.7152777777777777,0.45450710910061026,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.765277777777778,0.48798196637358343,3.0
Step_2a,anthropic,claude-haiku-4-5-20251001,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.94375,0.3750781711435376,3.0
Step_2a,google,gemini-2.5-flash,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.945138888888889,0.8454867188053987,5.0
Step_2a,google,gemini-2.5-flash,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.547222222222222,0.9957480448336586,3.0
Step_2a,google,gemini-2.5-flash,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.604861111111111,0.933570478079455,5.0
Step_2a,google,gemini-2.5-flash,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.915277777777778,0.9015714367242059,3.0
Step_2a,google,gemini-2.5-flash,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.8722222222222222,0.4053918127108479,4.0
Step_2a,google,gemini-2.5-flash,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.392361111111111,0.5771391741024724,3.0
Step_2a,google,gemini-2.5-flash,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.6444444444444444,0.5311398023258108,4.0
Step_2a,google,gemini-2.5-flash,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.025,0.5574063834429858,3.0
Step_2a,google,gemini-2.5-flash,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,5.018055555555556,0.9612110714120568,5.0
Step_2a,google,gemini-2.5-flash,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.3493055555555555,1.2118534628970128,3.0
Step_2a,google,gemini-2.5-flash,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.636111111111111,1.0568688009492433,5.0
Step_2a,google,gemini-2.5-flash,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.5388888888888888,1.077220776796121,2.0
Step_2a,google,gemini-2.5-flash,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,5.118055555555555,0.7801972967075859,5.0
Step_2a,google,gemini-2.5-flash,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.782638888888889,1.0421839114222573,4.0
Step_2a,google,gemini-2.5-flash,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.707638888888889,0.8954816595091046,5.0
Step_2a,google,gemini-2.5-flash,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.042361111111111,0.9708811083913161,3.0
Step_2a,google,gemini-2.5-flash,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.8413110181311017,0.8878703969558777,3.0
Step_2a,google,gemini-2.5-flash,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.348339124391939,0.9570586642739415,2.0
Step_2a,google,gemini-2.5-flash,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.5736205698401666,0.8158347844821423,2.33
Step_2a,google,gemini-2.5-flash,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,1.8906184850590688,0.8353140829713223,2.0
Step_2a,google,gemini-2.5-flash,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.8694444444444445,0.6991782904463766,4.0
Step_2a,google,gemini-2.5-flash,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.11875,0.880920356263393,3.0
Step_2a,google,gemini-2.5-flash,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.533333333333333,0.7288362118929773,4.0
Step_2a,google,gemini-2.5-flash,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.50625,0.7828707129289726,2.0
Step_2a,google,gemini-2.5-flash,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.9458333333333333,0.2736708989737504,3.0
Step_2a,google,gemini-2.5-flash,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.0055555555555555,0.2074960008750079,3.0
Step_2a,google,gemini-2.5-flash,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.234722222222222,0.4950511790031869,3.0
Step_2a,google,gemini-2.5-flash,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.2416666666666667,0.45499314613506153,3.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,5.331944444444445,0.49551887403093636,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,5.1625,0.5787378133205563,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.979166666666667,0.5914464431087718,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,4.7375,0.6918441782088458,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.9993055555555554,0.08742834077723376,4.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.9430555555555555,0.26536266182372126,4.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.8756944444444446,0.3300444360710902,4.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.7215277777777778,0.4484028012793826,4.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,5.9875,0.11114102755310212,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,5.884027777777778,0.47715906943715874,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,5.770833333333333,0.6139308180404524,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,5.594444444444444,0.7414818828507816,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,5.963888888888889,0.18663142061103372,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,5.879166666666666,0.4708124363727282,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,5.740972222222222,0.5741614055204516,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,5.5881944444444445,0.7038064409288601,6.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.2403611111111115,0.6178424272592704,4.33
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,4.556777777777778,0.7292915679121206,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.8370208333333338,0.8543094043067789,3.67
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.9473402777777777,1.0866352530726284,4.67
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,4.967361111111111,0.19632830537158388,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,4.896527777777778,0.40632819032767203,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,4.748611111111111,0.5118452509895378,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,4.615277777777778,0.6220769806880316,5.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.216666666666667,0.4137994935325691,3.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.089583333333333,0.4044950266025686,3.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.34375,0.5198250026273242,3.0
Step_2a,openrouter,meta-llama/llama-3.3-70b-instruct,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.238888888888889,0.5975524681602975,3.0
Step_2a,tencent,hy3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.9506944444444443,0.6168241789959215,4.0
Step_2a,tencent,hy3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.2506944444444446,0.7822293587371265,3.0
Step_2a,tencent,hy3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.647222222222222,0.7213554190865347,4.0
Step_2a,tencent,hy3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.865972222222222,0.7452106235461656,3.0
Step_2a,tencent,hy3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.109722222222222,0.42560825042235845,3.0
Step_2a,tencent,hy3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.8402777777777777,0.4483495243241615,3.0
Step_2a,tencent,hy3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.863888888888889,0.4575991234299724,3.0
Step_2a,tencent,hy3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.604861111111111,0.4947015808351195,3.0
Step_2a,tencent,hy3,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.8604166666666666,0.6621630221960938,4.0
Step_2a,tencent,hy3,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.220833333333333,0.7738673940488292,3.0
Step_2a,tencent,hy3,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.5770833333333334,0.7178086827790304,4.0
Step_2a,tencent,hy3,Fit_Score,pooled,Fit_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.839583333333333,0.7343189277826031,3.0
Step_2a,tencent,hy3,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.9381944444444446,0.6134350051945393,4.0
Step_2a,tencent,hy3,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.265277777777778,0.7751634089372174,3.0
Step_2a,tencent,hy3,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.6347222222222224,0.7131563647740311,4.0
Step_2a,tencent,hy3,Performance_Score,pooled,Performance_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.8805555555555555,0.7500083648157829,3.0
Step_2a,tencent,hy3,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.6180902777777777,0.6765419411230933,2.67
Step_2a,tencent,hy3,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.4972013888888887,0.8440683856234107,3.0
Step_2a,tencent,hy3,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.434951388888889,0.5886917903644869,2.0
Step_2a,tencent,hy3,Leadership_Avg,pooled,Leadership_Avg ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.1544444444444446,0.8060885214088801,2.0
Step_2a,tencent,hy3,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.8118055555555554,0.4201321026865499,3.0
Step_2a,tencent,hy3,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.5520833333333335,0.5629847922484129,3.0
Step_2a,tencent,hy3,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.61875,0.5082322645664593,3.0
Step_2a,tencent,hy3,Status_Score,pooled,Status_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.31875,0.6003784710893642,2.0
Step_2a,tencent,hy3,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,3.009027777777778,0.19881972601584402,3.0
Step_2a,tencent,hy3,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,3.0076388888888888,0.13158564755423358,3.0
Step_2a,tencent,hy3,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,3.3381944444444445,0.47325944263015707,3.0
Step_2a,tencent,hy3,Warmth_Score,pooled,Warmth_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,3.2916666666666665,0.45468757649271374,3.0
Step_2a,minimax,MiniMax-M3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.6118055555555557,0.5666178663803572,3.0
Step_2a,minimax,MiniMax-M3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.1791666666666667,0.39785299403735697,2.0
Step_2a,minimax,MiniMax-M3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.4458333333333333,0.5452269356853192,2.0
Step_2a,minimax,MiniMax-M3,Hireability_Score,pooled,Hireability_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.0541666666666667,0.3071705029126739,2.0
Step_2a,minimax,MiniMax-M3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Entry-Level,2.3583333333333334,0.4840040317086369,2.0
Step_2a,minimax,MiniMax-M3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Agentic,Senior-Level,2.129861111111111,0.3362673456389001,2.0
Step_2a,minimax,MiniMax-M3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Entry-Level,2.2111111111111112,0.4082388335952284,2.0
Step_2a,minimax,MiniMax-M3,Competence_Score,pooled,Competence_Score ~ C(CV_framing) * C(Seniority_level),Communal,Senior-Level,2.0458333333333334,0.22519391689936494,2.0
