Phrase_ID,Source_Dataset,Resume_ID,Category_or_Label,Phrase,Word_Count
P000023,sales_phrases,17781039,SALES,"-As well as the above listed, I have had ten years as a Paid Call Firefighter (PCF) for Madera County.",19
P000024,resume_classification_phrases,DS2_00658,2,"-Assist Project Managers evaluate Vacancies, Overcapacities and Room Type changes.",9
P000025,resume_classification_phrases,DS2_00658,2,-Assist Property Management Inventory Control Unit with Occasional Inventories and Property Verifications.,11
P000026,resume_classification_phrases,DS2_00658,2,-Assist contractor in the development of CAFM space and asset management system.,11
P000027,resume_classification_phrases,DS2_00658,2,-Assist in extraction and validation of mission data -Create automated data validation spreadsheets/templates -Prepare data for upload into Umoja performing required calculations and adjustments.,20
P000028,resume_classification_phrases,DS2_00658,2,-Communicate with missions to confirm/ clarify submitted data.,6
P000029,resume_classification_phrases,DS2_00206,20,"-Community Outreach, Soup Kitchen, Clothes Drive, Fundraising for non-profit organizations, Youth Leadership Development, and life skills enriching activities.",16
P000030,resume_classification_phrases,DS2_00658,2,-Coordinate all IT Disposals with OICT and movers and update Procure Plus records accordingly.,13
P000031,resume_classification_phrases,DS2_00658,2,"-Coordinate with other functional teams for the preparation of scenarios, input data and execution of test scripts.",16
P000032,resume_classification_phrases,DS2_00658,2,-Coordinate/Arrange furniture relocation to offsite locations.,5
P000033,resume_classification_phrases,DS2_00658,2,-Create and run queries in SQL and Microsoft Access to edit databases.,11
P000034,resume_classification_phrases,DS2_00658,2,"-Create manuals, guidlines, instructions and cheat sheets for data conversion and testing processes -Develop Excel spreadsheets to calculate and show the statistics of reoccurring problems.",23
P000035,resume_classification_phrases,DS2_00658,2,-Create new staff entries in UN Staff Telephone Directory Database (Untel) and Voice/Data Messaging Service (VMS).,14
P000036,resume_classification_phrases,DS2_00658,2,-Create reports in SQL and Microsoft Access for Project Managers to aide in space planning.,14
P000037,resume_classification_phrases,DS2_00658,2,-Develop Excel spreadsheets to calculate and show the statistics of reoccurring problems.,11
P000038,resume_classification_phrases,DS2_00658,2,-Develop SOP's for my position to help in training efforts.,9
P000039,resume_classification_phrases,DS2_00658,2,-Develop SOPs for each position in PMICU.,6
P000040,resume_classification_phrases,DS2_00658,2,"-Develop, Create and Maintain Document Management database and online library using visual studios, for department website (vb script & ASP.net).",17
P000041,resume_classification_phrases,DS2_00658,2,"-Developed Standard Operating Procedures for unit, including ""Furniture Disposal Process"" , ""Furniture Issuance Procedure"", ""Processing PO Orders Procedure"", etc.",17
P000042,resume_classification_phrases,DS2_00658,2,"-Developed classification system for furniture used in Unit Operations, warehouse and physical inventories based on UNCCS item codes.",17
P000043,sales_phrases,34303500,SALES,-Developed highly effective sales training strategies as Sales Manager.,8
P000044,resume_classification_phrases,DS2_00658,2,-Execute test scenarios as part of the Umoja team and guide the extended-team testers in the execution.,15
P000045,resume_classification_phrases,DS2_00658,2,"-Identify and raise defects, and coordinate with responsible teams -Re-test failed scripts after defect resolution.",13
P000046,resume_classification_phrases,DS2_00658,2,"-Improved efficiency of Inventory process by creating accurate location nomenclature in Untel, VMS and Aperture databases.",15
P000047,resume_classification_phrases,DS2_00658,2,-Increased the accuracy level of Staff Information and Floor plans improving space planning occupancy reports.,14
P000048,resume_classification_phrases,DS2_00658,2,"-Managed, corrected and improved data, queries and processes resulting in reducing SQL Database issues/ errors by more that 50%.",17
P000049,resume_classification_phrases,DS2_00658,2,-Obtain quotes and submit for requisitions -Enter delivered furniture into Procure Plus.,10
P000050,resume_classification_phrases,DS2_00658,2,-Performed asset management through Procure Plus -Cleaned up data fields in Procure Plus -Enter data on all incoming and outgoing expendable and non-expendable stock items.,21
P000051,sales_phrases,34303500,SALES,-Personally helped grow our company in revenue by 115% in a year and we made the INC 5000 list and magazine.,20
P000052,resume_classification_phrases,DS2_00658,2,"-Property Records Custodian (for FMS) -Manage Furniture using Procure Plus to Build, Relocate, Transfer and Remove records.",15
P000053,sales_phrases,34303500,SALES,"-Recognized by our city as one of the fastest growing technology companies in revenue and I attributed to that with bringing over $300,000 in revenue in 36 month contracts since January 2016.",30
P000054,resume_classification_phrases,DS2_00658,2,"-Record and report any discrepancies in Floor plans and make any necessary changes in Aperture -Clean, monitor and maintain Aperture data to assure accurate Floor plans.",24
P000055,resume_classification_phrases,DS2_00261,5,-Selected as a member in Edinburg Leadership Class XX.,8
P000056,resume_classification_phrases,DS2_00565,0,-State Level Programme of Capacity Building and Strengthening of Vermi Composting Units in Universities and Colleges Through Solid Waste Management (SWM) Training -Entrepreneurship Development Institute of India (EDI) Skills Computer skills •SPSS Software.,30
P000057,resume_classification_phrases,DS2_00656,1,-Use organization and time management tools to track cases and meet turn-around-times and other required metrics.,14
P000058,resume_classification_phrases,DS2_00658,2,-Worked and liaised with software company contractors to assist colleages in fixing errors and improve fuctionality of CAFM system.,18
P000059,resume_classification_phrases,DS2_00217,0,"01/1983 to 01/1999 Executive Secretary Company Name － City , State Provides bookkeeping and clerical support including monthly invoicing, correspondence, receiving visitors, arranging conference calls, and scheduling meetings.",24
P000060,resume_classification_phrases,DS2_00079,13,"01/1984 to 09/1986 BUSINESS DEVELOPMENT REPRESENTATIVE Company Name － City , State Created Newcomer Program and designed to attract business from people moving to the area.",22
P000061,resume_classification_phrases,DS2_00343,2,"01/1989 to 04/2007 Company Name Hours per week: 40 + Ogden, UT Series:2210 Pay Plan: GS Grade: Information Technology Computer System Administrator (This is a federal job) Supervisor Sandy Spiers () May Contact Supervisor: Yes.",30
P000062,sales_phrases,26994282,SALES,"01/1992 to 01/2015 Broadcast Engineer / Construction Project Manager City , State Reviewed plans and specs during the schematic design of pre-construction.",17
P000063,resume_classification_phrases,DS2_00303,12,"01/1997 to 12/1998 Sales Manager Company Name – City , State Led sales team of ten salespeople, achieved President's Club in 2 consecutive years.",20
P000064,resume_classification_phrases,DS2_00555,4,"01/1999 - 01/2001 Company Name － City , State Business Office Manager Managed business office for skilled nursing, rehabilitation, and long-term care facility.",17
P000065,resume_classification_phrases,DS2_00498,18,"01/1999 to 01/2001 Project Accountant Company Name － City , State Closed and compiled monthly financial reporting packages for management and owners of residential developments.",21
P000066,resume_classification_phrases,DS2_00257,11,"01/1999 to 01/2006 PROJECT LEAD Company Name － City , State Provided technical support for Central office as well as all site offices, which included Windows",22
P000067,resume_classification_phrases,DS2_00054,1,"01/1999 to 01/2007 Proposal Specialist Company Name － City , State Provided professional proposal development support to all divisions of the ARAMARK Corporation.",19
P000068,resume_classification_phrases,DS2_00303,12,"01/1999 to 06/2001 E-Products Marketing Manager Company Name – City , State Spearheaded market research, design, requirements, prototyping, and implementation of company's first & second generation e-commerce sites, established and managed ten-person e-commerce department.",25
P000069,sales_phrases,38087844,SALES,"01/1999 to 11/2004 Project Manager Company Name － City , State Negotiated Voice & Data contracts with clients and fortune 500 service providers.",18
P000070,resume_classification_phrases,DS2_00703,18,"01/2000 to 01/2002 General Manager Company Name － City , State Management of a 124-room property with primary responsibility on the overall hotel operation.",19
P000071,resume_classification_phrases,DS2_00359,21,"01/2000 to 01/2003 Head Men's Junior Varsity Basketball Coach Company Name - City , State Coaching, Team Management, Recruiting.",15
P000072,sales_phrases,16511249,SALES,"01/2000 to 01/2003 Owner Company Name - City , State Owner of catering business 01/1999 to 01/2000 Line Cook Company Name - City , State Catering Chef and server for catering and deli.",25
P000073,resume_classification_phrases,DS2_00217,0,"01/2000 to 01/2010 Clerical II Company Name － City , State Provides high-level administrative support by conducting research, preparing statistical reports, handling information requests, and performing clerical functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings.",35
P000074,resume_classification_phrases,DS2_00501,19,"01/2001 to 01/2006 System Administrator Company Name － City , State Provided support for Microsoft Client and Server systems.",15
P000075,resume_classification_phrases,DS2_00555,4,"01/2002 - 01/2004 Company Name － City , State Office Coordinator Served as administrative and clinical support in various office settings throughout hospital organization to include outpatient physical, occupational, and speech therapy, inpatient skilled nursing, and outpatient wound care services.",35
P000076,resume_classification_phrases,DS2_00601,20,"01/2002 - 06/2004 Company Name － City , State Admissions Processing Assistant Director Created and maintained VisiFLOW accounts for all college employees.",17
P000077,resume_classification_phrases,DS2_00666,21,01/2002 to 01/2005 Michigan Regional Account Manager Company Name Develop presentations to target top-producing agents and secure commitment and follow up with commitments and monitor percentage attainment of stated goals.,27
P000078,resume_classification_phrases,DS2_00507,21,"01/2002 to 01/2005 Territory Manager Company Name － City , State Effectively managed a sales territory by identifying competitive market opportunities and building strategic relationship with CTX partners.",24
P000079,resume_classification_phrases,DS2_00121,5,"01/2002 to 08/2002 Intern Company Name － City , State Developed and maintained monthly expense budget reports for entire Managed Care sales force (NHO) to evaluate budget spending & allocation of resources.",27
P000080,sales_phrases,17378327,SALES,"01/2003 to 01/2005 Analyst Company Name － City , State Instituted system to manage subscribers' accounts for receipt of eclectic journals.",17
P000081,resume_classification_phrases,DS2_00568,21,"01/2004 to 01/2006 Financial Planning Analyst Company Name － City , State Supported Certified Financial Planner & clients to establish individualized financial plans for retirement, investment, insurance, long-term care, and small business needs.",27
P000082,resume_classification_phrases,DS2_00184,18,01/2004 to 05/2005 Bank Clerk Company Name Reporting to the Branch Manager.,10
P000083,sales_phrases,36970996,SALES,"01/2005 to 01/2008 Sales Consultant Company Name – City , State I worked hard in this high end jewelry store.",16
P000084,resume_classification_phrases,DS2_00309,16,"01/2005 to 01/2011 ADMINISTRATIVE ASSISTANT Company Name － City , State Provide administrative support to the Dean of Student Success and Vice President of Student Affairs.",22
P000085,sales_phrases,38087844,SALES,"01/2005 to 03/2006 Contracts Manager Company Name － City , State Hired and directed processing team for company's largest conversion project of 848 units Directed team to prepare all condo documents and purchase contracts according to standard.",33
P000086,resume_classification_phrases,DS2_00011,2,"01/2005 to 08/2009 President Company Name － City , State Aldreteem Inc was created to support small to mid-sized organizations that wanted to implement Enterprise Resource Planning systems but did not have the resources to manage the system in-house.",33
P000087,resume_classification_phrases,DS2_00303,12,"01/2005 to 10/2007 Global Process Expert; Senior Manager CRM Company Name – City , State Drove major initiatives for database marketing, CRM, market sensing, data quality, and lead management resulting in significant sales growth and strategic advantage.",33
P000088,resume_classification_phrases,DS2_00507,21,"01/2006 to 01/2009 Banking Sales Representative Company Name － City , State Managed and built client relationships with high net worth clients.",18
P000089,resume_classification_phrases,DS2_00257,11,"01/2006 to 01/2014 PROJECT MANAGER Company Name － City , State Provided strategic management and operational oversight of support teams consisting of 6 direct",20
P000090,sales_phrases,16511249,SALES,"01/2006 to 06/2006 Security Officer Company Name - City , State Issued criminal trespass warnings to possible suspects and assisted police in apprehending and processing shoplifters.",22
P000091,resume_classification_phrases,DS2_00027,0,"01/2007 to 01/2010 AR/AP Representative Company Name － City , State Leading orthopedic medical device company Processed invoices and credit memos in accurate in timely manner.",21
P000092,resume_classification_phrases,DS2_00160,18,"01/2007 to 08/2011 Accounting Manager Company Name － City , State Established new strategies to maximize profitability.",13
P000093,resume_classification_phrases,DS2_00023,18,"01/2007 to 08/2016 Co-Owner Company Name － City , State Created a business plan to help preserve a historic landmark building and encourage economic",19
P000094,resume_classification_phrases,DS2_00417,15,"01/2008 Finance Manager 01/2006 to 01/2007 Deputy Manager 01/1980 to 01/2005 Company Name 4 Star Hotel), Visakhapatnam, managing all the activities of Finance Department and also handled the administration.",24
P000095,sales_phrases,17378327,SALES,"01/2008 to 01/2009 Cardiac Care Assistant Company Name － City , State Performed pacemaker tests over the phone.",14
P000096,resume_classification_phrases,DS2_00568,21,"01/2008 to 01/2010 Financial Consultant Company Name － City , State Responsible for full balance sheet & income statement analysis/forecasting/management reporting for Private Banking line of business consisting of a $43 billion deposit and $34 billion loan portfolio.",32
P000097,resume_classification_phrases,DS2_00680,4,"01/2008 to 07/2009 Team Lead/BlueCard Host Adjustments Company Name － City , State Provided subject matter direction to team members and assisted with complex claim issues.",21
P000098,resume_classification_phrases,DS2_00264,2,"01/2009 Help Desk Support/IT Technician/Network Admin Company Name － City , State Provided first level help desk IT support in a 300 user environment spanning over 15 remote sites.",24
P000099,resume_classification_phrases,DS2_00536,11,01/2009 to 06/2013 Lead Application Engineer Company Name Responsible for designing and engineering unified communication solutions.,14
P000100,resume_classification_phrases,DS2_00454,17,"01/2009 to 10/2012 Quality Analyst/Document Control Specialist Company Name – City , State Collaborated with engineers at the new product introduction phase to develop and verify design changes.",23
P000101,resume_classification_phrases,DS2_00264,2,"01/2010 Help Desk Analyst Company Name － City , State Provided help desk support for over 7,000 Taco Bell stores.",16
P000102,sales_phrases,31199035,SALES,"01/2010 to 01/2011 Sales Associate Company Name － City , State Assisting customers to the area in the store they needed to go to or need help in.",24
P000103,resume_classification_phrases,DS2_00217,0,"01/2010 to 01/2012 Administrative Assistant/Bookkeeper Company Name － City , State Provides high-level administrative support for human resources, accounts payable, and purchasing departments.",17
P000104,resume_classification_phrases,DS2_00304,20,"01/2010 to 01/2012 Public Relations Officer Company Name － City , State Municipality of Yauco Developing and implementing communication strategies for the organization, and advising management on communication issues and strategies.",27
P000105,resume_classification_phrases,DS2_00689,19,"01/2010 to 01/2012 Technician Company Name － City , State Consult helping customers plan for direct TV.",13
P000106,resume_classification_phrases,DS2_00264,2,"01/2010 to 01/2013 Network Administrator/Help Desk Manager Company Name － City , State Served as technical specialist in network problems and emergencies.",17
P000107,sales_phrases,38087844,SALES,"01/2010 to 10/2014 FOUNDER/CEO Company Name － City , State Excelled at arranging outrageous, one-of-a-kind experiences such as deep sea Shark Diving, Exotic Car Rentals, Luxury Vacation Home Accommodations, Luxury Yachts, Jet Charters and Events.",29
P000108,resume_classification_phrases,DS2_00555,4,"01/2011 Company Name － City , State Business Development/Admissions Coordinator Responsible for the development of admission statistics in a long-term acute care hospital setting by developing referral sources and converting referrals into admissions.",28
P000109,resume_classification_phrases,DS2_00503,14,01/2011 to Current Office Manager Company Name Tracked financial transactions.,9
P000110,resume_classification_phrases,DS2_00555,4,"01/2012 Company Name － City , State Provider Relations Specialist Served as a liaison between the Medicaid and CHIP Managed Care contractor and health care providers.",23
P000111,resume_classification_phrases,DS2_00217,0,"01/2012 to 01/2015 Administrative Coordinator Company Name － City , State Coordinates, oversees, and performs a wide variety of administrative, secretarial, and program support activities.",21
P000112,sales_phrases,55477468,SALES,"01/2012 to 04/2016 Yoga Instructor Company Name － City , State Plan yoga sequences and prepare class content and format appropriate for student level and style/type of yoga class.",24
P000113,resume_classification_phrases,DS2_00615,7,"01/2013 to 01/2014 Floor Associate Company Name － City , State Executed store initiative related to sales, service, and customer experience.",17
P000114,sales_phrases,25839123,SALES,"01/2013 to 01/2014 Food Prep Company Name － City , State Responsible for the production and plating of desserts.",15
P000115,resume_classification_phrases,DS2_00177,12,"01/2013 to 06/2013 Digital Copywriter (Contractor) Company Name － City , State Developed grammatically sound, benefit driven and search engine friendly content for LiveEdit's global client B2C websites.",24
P000116,sales_phrases,25839123,SALES,"01/2014 to 01/2015 Cafe Attendant Company Name － City , State Maintained high standards of customer service during high-volume, fast-paced operations.",15
P000117,resume_classification_phrases,DS2_00115,21,"01/2014 to 01/2016 Personal Banker Company Name － City Experience leading or participating in events and activities for local networks or professional organizations, such as the chamber of commerce and professional business groups.",30
P000118,sales_phrases,23782450,SALES,"01/2014 － 07/2014 City , State 09/2010 － 01/2014 City , State Education May 2012 High School Diploma : General Business Ringgold High School City , State Monitor checkout stations to ensure that they have adequate cash available and that they are staffed appropriately.",34
P000119,sales_phrases,27607632,SALES,"01/2015 to 03/2016 SERVICE ADMIN/BOOKEEPER, RUSH ENTERPRISES Company Name － City , State Match and coded all paperwork and invoices for departments.",17
P000120,sales_phrases,16511249,SALES,"01/2015 to 09/2015 Sales Company Name - City , State Identify customer needs; match needs to Company products and services, and overcome customer objections and resistance.",22
P000121,sales_phrases,36621169,SALES,"01/2016 to 04/2016 Technical Design Intern Company Name － City , State Communicated with clothing factories daily to discuss garment specification needs as well as status' per garment.",24
P000122,resume_classification_phrases,DS2_00023,18,"02/1985 to 01/1989 Accounting Manager Company Name － City , State Speaco Foods was a manufacturing facility (multi-state) that made vinegar, juices, hot sauce and",20
P000123,resume_classification_phrases,DS2_00006,19,"02/1986 to 02/1989 Owner Developer Company Name – City , State Full responsibilities of operating a single family home building company.",17
P000124,resume_classification_phrases,DS2_00447,19,"02/1991 to 05/2005 Senior Project Manager Company Name － City , State Provided in-depth analysis of the top five multi million dollars contracts with the Federal Government.",22
P000125,resume_classification_phrases,DS2_00219,16,"02/1998 - 03/2005 Company Name － City , State Project Manager / Senior Consultant Successfully managed numerous software implementations of Exact Macola (ERP), MP2 (maintenance), Goldmine (CRM).",21
P000126,resume_classification_phrases,DS2_00450,17,"02/1999 to 09/1999 Executive Receptionist Company Name － City , State Managed front office area.",11
P000127,sales_phrases,16511249,SALES,"02/2000 to 02/2003 Room Service Assistant Manager Company Name - City , State Oversaw delivery of food.",13
P000128,resume_classification_phrases,DS2_00003,2,"02/2000 to 09/2001 Systems Infrastructure Analyst Company Name － City , State 10/1999 to 02/2000 Technology Service Consultant Company Name － City , State Education and Training B.B.A : Management Information Systems University of Houston Management Information Systems 2010 Certified Information Systems Auditor (CISA) Certification -",35
P000129,resume_classification_phrases,DS2_00542,2,"02/2002 to 05/2002 Instructional Support Asst I Company Name － City , State Instructed and tutored Corporate Information Technology students in the basics of: Database design: including ERD diagrams, data dictionaries, using all functions of Microsoft Access.",33
P000130,resume_classification_phrases,DS2_00245,21,02/2002 to 09/2007 Client Service Manager Company Name Built and fostered a proactive workplace environment resulting in a higher level of employee participation and performance.,23
P000131,resume_classification_phrases,DS2_00305,15,"02/2002 to 10/2002 Finance Manager Company Name － City , State Developed a strong rapport with customers to ensure satisfaction.",16
P000132,sales_phrases,16511249,SALES,"02/2003 to 07/2003 Security Company Name - City , State Monitored the entire facility using CCTV while simultaneously performing dispatch duties.",17
P000133,resume_classification_phrases,DS2_00009,5,"02/2004 to 02/2006 General Manager Company Name － City , State Executive management oversight for 35 locations including hotel and office properties, hospitals and government agencies; generating over $6 million in annual revenues.",29
P000134,resume_classification_phrases,DS2_00100,13,"02/2006 - 09/2009 Company Name － City , State Independent Contractor Facilitated successful internal and external audits through sound and thorough documentation.",17
P000135,resume_classification_phrases,DS2_00009,5,"02/2006 to 05/2009 Bay Area General Manager Company Name － City , State Executive management of the Bay Area market; responsibilities include marketing and business development, operations and accounting related functions.",27
P000136,resume_classification_phrases,DS2_00594,16,"02/2007 to 04/2008 Department Manager Company Name － City , State Efficiently manage everyday activities including daily maintenance and inter-department projects.",16
P000137,resume_classification_phrases,DS2_00394,18,"02/2007 to 06/2010 Accounting Manager/Human Resources Company Name － City , State",7
P000138,sales_phrases,51349448,SALES,"02/2008 to 02/2016 Maintenance chief Company Name － City , State In charge of the daily Maintenance operation of preventive and corrective services for all of Alameda's/Hawaii Amphibious equipment Record keeping of twenty 55 horse outboard engines.",32
P000139,resume_classification_phrases,DS2_00397,20,"02/2008 to Current Public Relations & Marketing Manager Company Name － City , State Bay Area native with over 7 years' experience in public relations and marketing, specializing in B2B technology, specifically video/television advertising.",29
P000140,resume_classification_phrases,DS2_00128,1,"02/2010 to 07/2010 Freelance Production Artist Company Name － City , State Designed and created customized products using a variety of resources and media to meet",22
P000141,resume_classification_phrases,DS2_00553,15,"02/2012 - 05/2014 Company Name － City , State Master Data Specialist Accurately created customer master data records and sales hierarchies in SAP.",18
P000142,resume_classification_phrases,DS2_00558,7,"02/2012 to 02/2015 General Manager Company Name － City , State Managed club to meet or exceed monthly sales quotas of 60% or higher sales average.",22
P000143,resume_classification_phrases,DS2_00053,18,"02/2012 to 11/2013 Accountant (TEMP) Company Name – City , State Maintained responsibility for accounting and financial management associated with general ledger activity, cash flow management, and financial reporting.",25
P000144,resume_classification_phrases,DS2_00616,4,"02/2013 to 01/2014 Terradata Multi System Manager Company Name － City , State Columbus, Ohio/Chicago, IL Feb 2013 - Jan 2014 Level 2 Unix Engineer Providing Production Supoort Engineer for over SERVERS of AIX/LINUX/SOLARIS.",27
P000145,resume_classification_phrases,DS2_00387,12,"02/2013 to 12/2013 Development Assistant Company Name － City , State Worked with Research team to handle requests from across the agency requiring research analysis software such as comScore, Nielsen, Scarborough and MRI",29
P000146,resume_classification_phrases,DS2_00512,4,"02/2013 to 12/2015 Office Manager Company Name – City , State Established and developed highly-efficient and dependable administrative team by delivering ongoing coaching and motivation while providing opportunities for career acceleration through achievements.",28
P000147,resume_classification_phrases,DS2_00512,4,"02/2013 to 12/2015 Office Manager II Company Name – City , State Generate spreadsheets, reports and correspondence to use internally and externally.",18
P000148,sales_phrases,98108571,SALES,"02/2014 to 04/2014 Waitress Company Name － City , State Waited on customers and cleaned necessary thing as instructed.",15
P000149,resume_classification_phrases,DS2_00387,12,"02/2015 to 08/2015 Digital Media Strategist Company Name － City , State Communicate rationale and reasoning behind integrating digital media such as Programmatic Display, SEM, Online Video, Mobile and Social into the overall media recommendation",31
P000150,sales_phrases,36970996,SALES,"02/2015 to 11/2017 Sales Associate Company Name – City , State I do take extra time whenever I can.",15
P000151,resume_classification_phrases,DS2_00511,12,"02/2016 to 07/2017 Store Manager Company Name － City , State Supervises and motivate team members to meet daily high standards of cleanliness, efficiency, and customer service at all times.",26
P000152,sales_phrases,19156751,SALES,"02/2016 to Current Bar tender Company Name － City , State Analyzed customer requirements for future products.",14
P000153,resume_classification_phrases,DS2_00219,16,"03/1994 - 02/1998 Company Name － City , State Warehouse Manager / Production Manager Managed logistics and operations in the Distribution Center.",16
P000154,resume_classification_phrases,DS2_00074,4,"03/1996 to 02/1997 Business Manager Company Name – City , State Managed daily Accounts Receivable and Accounts Payable functions.",15
P000155,resume_classification_phrases,DS2_00305,15,"03/2001 to 02/2002 Finance Manager Company Name － City , State Efficiently analyzed all personal lines of credit to determine acceptability.",17
P000156,resume_classification_phrases,DS2_00186,19,"03/2001 to 03/2005 Senior Project Manager Company Name － City , State Organized and led a newly established project management group, pointOne.",18
P000157,resume_classification_phrases,DS2_00011,2,"03/2001 to 12/2004 Director, Client Services Company Name － City , State BatchMaster Software Inc develops an Enterprise Resource Planning system for the process manufacturing industries integrated into Sage Platinum, SAP Business One and Microsoft Great Plains.",33
P000158,resume_classification_phrases,DS2_00303,12,"03/2002 to 12/2004 Global E-Business Channel Manager Company Name – City , State 07/2001 to 08/2002 Global E-Business Implementation Manager Company Name – City , State Global product owner for e-commerce, led global product development, marketing, and implementation for 15 major e-commerce web sites as well as e-procurement.",35
P000159,sales_phrases,10138632,SALES,"03/2005 to 09/2007 Wholesale Food Supplier Company Name － City , State Sell and keep records of sales for products from truck inventory.",19
P000160,resume_classification_phrases,DS2_00003,2,"03/2006 to 04/2007 Lead Client Security Analyst Company Name － City , State Served as the liaison between the business and IT departments supporting global accounts for companies located all over the world.",29
P000161,resume_classification_phrases,DS2_00128,1,"03/2008 to 03/2009 Digital Prepress Operator Company Name － City , State Managed time and workflows to preflight and process digital files for direct-to-plate, direct-to-screen",19
P000162,sales_phrases,29815762,SALES,"03/2008 to 04/2011 Assistant Trainer Company Name － City , State I helped train and care for AQHA horses for show and sale.",19
P000163,resume_classification_phrases,DS2_00331,0,"03/2008 to 07/2011 Customer Support Representative Company Name － City , State Performed wide range of administrative and support duties to support efficient call center operations.",22
P000164,resume_classification_phrases,DS2_00058,0,"03/2009 to 10/2010 HR/Benefits Clerk Company Name － City , State Analyzed employment-related data and prepared required reports.",12
P000165,resume_classification_phrases,DS2_00128,1,"03/2009 to 12/2009 Production Artist Company Name － City , State Effectively managed multiple projects and timelines for temporary and permanent in-store and POS",19
P000166,sales_phrases,55477468,SALES,"03/2012 to 05/2013 Front Desk and Office Assistant Company Name － City , State Greet and check in students.",15
P000167,resume_classification_phrases,DS2_00638,17,"03/2012 to 05/2014 Instrumentation Engineer Company Name － City , State Served as Project Engineer in the proposal and fabrication of pressure vessels being outsourced and the skid mounted in-house delivered on time and within the budget.",32
P000168,resume_classification_phrases,DS2_00239,23,"03/2012 to 06/2013 Customer Support Representative Company Name － City , State Processed customer quotes and verified accurate customer and product information.",18
P000169,resume_classification_phrases,DS2_00437,19,"03/2012 to 07/2016 Assistant General Manager Company Name － City , State Administrate daily operations through effective leadership which includes making vital decisions allowing company to expand into new markets.",26
P000170,resume_classification_phrases,DS2_00331,0,"03/2012 to 09/2014 Client Care Payroll Specialist Company Name － City , State Provide a range of customer services to client and staff to support payroll reporting.",23
P000171,resume_classification_phrases,DS2_00443,4,"03/2012 to 11/2014 Night Shift Leader Company Name － City , State Balanced daily bank vault inventory and ATM with a zero error rate, while supervising FSA's.",23
P000172,resume_classification_phrases,DS2_00121,5,"03/2013 to 03/2014 Director of Business Development Company Name － City , State Formed strategic partnerships and negotiated contracts with mass retailers and distributor's which resulted in the Greenie Tots product line being sold in national Fortune 500 accounts.",35
P000173,sales_phrases,31199035,SALES,"03/2014 to 03/2015 Cashier Company Name － City , State My duty was to greet all customers entering into the store.",17
