Phrase_ID,Resume_ID,Label,Phrase,Word_Count
P000087,DS2_00003,2,Developed and maintained documentation for audit compliance.,7
P000088,DS2_00003,2,"Created new roles, maintained segregation of duties and ensured appropriate access levels for applications maintained across product/business lines.",17
P000089,DS2_00003,2,"Managed Siebel queues to disseminate, track, and evaluate security requests received by Client Security.",14
P000090,DS2_00003,2,Implemented modifications to request processes.,5
P000091,DS2_00003,2,Implemented and tested changes to online request processes.,8
P000092,DS2_00003,2,"05/2002 to 03/2006 Sr. Technical Analyst Company Name － City , State Coordinated with analysts/programmers to evaluate, modify, test, debug, and maintain applications.",17
P000093,DS2_00003,2,"Administered PeopleSoft security to create, modify, and delete the security of users.",12
P000094,DS2_00003,2,Accurately interpreted and fulfilled customer requirements to achieve customer satisfaction.,10
P000095,DS2_00003,2,Provided third level end user support.,6
P000096,DS2_00003,2,Worked with network and application support team to resolve technical issues.,11
P000097,DS2_00003,2,Created and maintained support roles and permissions lists based on functional specifications and security requirement requests.,16
P000098,DS2_00003,2,"Identified and managed problems, determined root cause, and initiated corrective action and risk mitigation where applicable.",16
P000099,DS2_00003,2,"Documented new/existing functional processes and procedures, as well as created knowledgebase articles related to previously undocumented resolutions.",16
P000100,DS2_00003,2,Developed training and technical documentation and performed end user training.,10
P000101,DS2_00003,2,Facilitated weekly continuous improvement meetings with business users to identify enhancement requests and production support issues.,16
P000102,DS2_00003,2,Participated in weekly production support meetings with IT.,8
P000103,DS2_00003,2,Maintained issue and development task list documentation and status reporting on issues and enhancement requests of business users.,18
P000104,DS2_00003,2,"02/2000 to 09/2001 Systems Infrastructure Analyst Company Name － City , State 10/1999 to 02/2000 Technology Service Consultant Company Name － City , State Education and Training B.B.A : Management Information Systems University of Houston Management Information Systems 2010 Certified Information Systems Auditor (CISA) Certification -",35
P000105,DS2_00004,16,Collaborated with customer service team members to give exceptional service throughout the entire shopping and purchasing experience.,17
P000106,DS2_00004,16,"Key holder/zone supervisor responsible for monitoring floor, manager approvals, money handling responsibilities,",11
P000107,DS2_00004,16,"web ordering, properly processing truck deliveries, actively learning about products.",10
P000108,DS2_00004,16,"Consumer Electronics Sales Lead, Merchandising Supervisor December 2014 to December 2016 Company Name － City , State Operated a cash register for cash, check and credit card transactions with 100% accuracy.",29
P000109,DS2_00004,16,other team members to help improve the stores efficiency.Resolved all customer complaints in a professional,14
P000110,DS2_00004,16,development opportunities.Communicated clear expectations and goals to each team member.,9
P000111,DS2_00004,16,"Manager January 2014 to December 2014 Company Name － City , State Completed all point of sale opening and closing procedures, including counting the contents of the cash",26
P000112,DS2_00004,16,development opportunities.Followed merchandising guidelines to present visually appealing displays.,8
P000113,DS2_00004,16,Mentored new sales associates to contribute to the store's positive culture.,11
P000114,DS2_00004,16,"when not serving customers, including cleaning and dusting displays.Worked with the management team to",13
P000115,DS2_00004,16,implement the proper division of responsibilities.Answered customer telephone calls promptly and in an,12
P000116,DS2_00005,15,FINANCE MANAGER Summary Detailed oriented Finance Manager who is adapt at meeting dealership and customer expectations.,16
P000117,DS2_00005,15,"FINANCE DIRECTOR/SALES MANAGER , 09/2006 to 07/2012 Company Name － City , State Top nationwide numbers on both the sales desk and in finance.",18
P000118,DS2_00005,15,"Sales Manager , 05/2001 to 09/2006 Company Name － City , State High volume dealership selling cars a month.",14
P000119,DS2_00005,15,"Managed a team of 6-8 salesman, motivated, trained, and set goals.",10
P000120,DS2_00005,15,Skills Career minded personality with expertise in sales and management.,10
P000121,DS2_00005,15,"Administrative duties, preparing contracts, account reconciliation, accounts payable/receivable, credit, e-commerce, invoicing, marketing, windows applications, organizational skills, public relations, web-site development, web marketing.",19
P000122,DS2_00006,19,DIRECTOR OF DEVELOPMENT Professional Summary Real Estate / Development / Construction Executive,10
P000123,DS2_00006,19,"Strategic thinker and planner with analytical skills and proven aptitude to manage complex and numerous projects and coordinate the efforts of corporate departments, landlords, designers, consultants, and contractors to turn over successful projects.",33
P000124,DS2_00006,19,Innovative Construction Manager adept at finding engaging ways to motivate construction teams to exceed expectations and maintain high standards.,19
P000125,DS2_00006,19,Reviewed plans and specs during the schematic design of pre-construction.,9
P000126,DS2_00006,19,Coordinated utility service providers according to project schedules.,8
P000127,DS2_00006,19,"Conducted weekly production and operations contractor meetings, which facilitated stronger communication and the ability to resolve critical issues.",18
P000128,DS2_00006,19,"12/1992 to 06/1996 Construction Manager Company Name – City , State Management of Landlords and General Contractors in the construction of approximately 45 retail stores per year throughout the Southeastern United States.",28
P000129,DS2_00006,19,"Coordinate with marketing, merchandising and turnover to operations.",8
P000130,DS2_00006,19,"Oversaw the entire building turnover process, while enhancing communication between all construction management.",13
P000131,DS2_00006,19,"02/1986 to 02/1989 Owner Developer Company Name – City , State Full responsibilities of operating a single family home building company.",17
P000132,DS2_00006,19,Successfully completed the development of two multi-unit subdivisions and over 100 single family homes.,13
P000133,DS2_00006,19,"06/1983 to 02/1986 Construction Superintendent Company Name – City , State Managed construction and turnover of single family custom homes.",16
P000134,DS2_00006,19,Managed construction of commercial office facilities.,6
P000135,DS2_00006,19,"Management, progress, Reporting, retail, seminars",5
P000136,DS2_00007,12,"but would also be involved in delivering platform demonstrations to agencies and clients, signing long-term tech and advertising contracts, organizing and executing trainings and orientation for clients.",26
P000137,DS2_00007,12,The Account Manager will play an integral role in recommending and implementing strategies for meeting client goals.,17
P000138,DS2_00007,12,This individual will drive renewals and retention.,7
P000139,DS2_00007,12,"This position is responsible for customer on-boarding, implementation, account growth, technical support and account success.",14
P000140,DS2_00007,12,List of accounts / agencies to be managed .,7
P000141,DS2_00007,12,Sales lead 08/2011 to 01/2014 Company Name City 1.Vserv.mobi ( Singapore limited) Follow the process as outlined below by VP.,16
P000142,DS2_00007,12,List of accounts / agencies to be managed.,7
P000143,DS2_00007,12,Business Development Consultant 01/2011 to 07/2011 Company Name City Identify & qualify new software opportunitiesfor Oracle - Consult with C-level executives to determine their business issues & Engage with Oracle team provide the best engineered solutions.,30
P000144,DS2_00008,16,"ASSISTANT BANKING CENTER MANAGER I Summary Experienced in Signals analysis, Geo-Spatial analysis, Electronic Warfare analysis, Networks and Threat analysis, and DNR.",20
P000145,DS2_00008,16,"Experienced in analytic research and development techniques along with management of analysis databases, and products.",15
P000146,DS2_00008,16,Skilled in assessing Fraudulent Issues; plans and conducts investigations designed to achieve casualty resolution.,14
P000147,DS2_00008,16,"Analyzed inspections, or investigations to identify problem area's within retail financial programs.",12
P000148,DS2_00008,16,"Company Name City , State Member and Provider Services 10/2015 to 03/2016 Certified in the 8 step Ulysses Service Mentor program.",18
P000149,DS2_00008,16,"Company Name City , State Head Sales Associate 05/2013 to 12/2015 Knowledgeable in all aspects of running a small business; payroll, accounts receivable, accounts payable and general leadership.",25
P000150,DS2_00008,16,"Company Name City , State SIGINT Analyst 06/2009 to 03/2010 Assisted in the development of over the air waves analysis between satellite, radio, and conducted pattern analysis to identify known and unknown threats.",30
P000151,DS2_00008,16,"Development and exploration of SIGNIT targets used for the research and development of Intelligence reports and product preparation for support to Military, both, Tactical and Strategic.",26
P000152,DS2_00008,16,Squad leader of 14 entry level soldiers.,7
P000153,DS2_00008,16,Developed and improved IIR's and PIR's for analysis and collection capabilities.,11
P000154,DS2_00008,16,Lead swim instructors and lifeguards in,6
P000155,DS2_00008,16,Lead swim instructors and lifeguards in monthly CPR/AED/First Aid Training.,9
P000156,DS2_00009,5,Created over 25 new commuter programs from the ground up for fortune 500 companies in the Bay Area.,18
P000157,DS2_00009,5,"Created new revenue streams through new municiple and  University accounts including the City of Los Angeles, University of California, Berkeley and San Francisco State University - over $10 million annually.",29
P000158,DS2_00009,5,"Manage the follow up process including sending follow up marketing materials, phone calls, emails and dialogue on a consistent basis until the relationship is recognized.",25
P000159,DS2_00009,5,Develop and prepare proposals for major private and municipal transportation projects through cold calls and requests for proposals.,18
P000160,DS2_00009,5,"Executive management of all corporate accounts which include many high profile, Silicon Valley Fortune 500 companies.",16
P000161,DS2_00009,5,"Networking and business development through many associations including ACT, BOMA San Francisco, BOMA Silicon Valley, APTA, CalACT, GBTA and various Bay Area organizations.",23
P000162,DS2_00009,5,"02/2006 to 05/2009 Bay Area General Manager Company Name － City , State Executive management of the Bay Area market; responsibilities include marketing and business development, operations and accounting related functions.",27
P000163,DS2_00009,5,"Management oversight of approximately 80 locations throughout the Bay Area encompassing San Francisco, Oakland-East Bay, San Jose and Marin County; over $65 Million dollars in gross parking revenues annually.",28
P000164,DS2_00009,5,Locations included management fee / incentive fee locations; company lease locations and reverse lease (at risk management fee) locations.,18
P000165,DS2_00009,5,"Achieved successful expansion of the municipal market with contract awards with AC Transit, and BART (Bay Area Rapid Transit); additional contract awards and new business achieved as a result.",29
P000166,DS2_00009,5,Achieved additional regional expansion and market margin with successful award of the City of San Jose contract; opening new market opportunities for the region.,24
P000167,DS2_00009,5,Oversight of Bay Area team of 35 management professionals and accounting/ clerical staff; oversight of employee base of over 200 parking professionals in both union and non union environments.,28
P000168,DS2_00009,5,"Responsible for annual budget preparation and performance for the Bay Area Region including same store sale performance, new business development and General and Administrative projections.",25
P000169,DS2_00009,5,"Achieved positive financial results on the successful integration of Bay Area operations, reducing overhead through technology and best practices for improvement of over $300,000 in Bay Area net profit.",28
P000170,DS2_00009,5,Responsible for monthly financial analysis and performance of Bay Area locations; implemented immediate changes and proactive measures to adhere to expectations to maintain budgeted targets.,25
P000171,DS2_00009,5,Successful implementation of Bay Area marketing campaigns and ancillary revenue opportunities to increase profits at existing locations.,17
P000172,DS2_00009,5,"02/2004 to 02/2006 General Manager Company Name － City , State Executive management oversight for 35 locations including hotel and office properties, hospitals and government agencies; generating over $6 million in annual revenues.",29
P000173,DS2_00009,5,"Through marketing and networking, obtained 5 new locations as first year General Manager, generating over $70,000 in additional net profit annually.",20
P000174,DS2_00009,5,"Successful implementation of Corporate policies and procedures at all locations and City office, creating more efficient revenue controls and immediate reduction of liabilities and risk of financial losses.",28
P000175,DS2_00009,5,Implementation of employee development projects and awards programs to increase low employee morale and high turnover ratios.,17
P000176,DS2_00009,5,Developed proformas and proposals for new location opportunities; Assisted General Manager with proposal preparation and presentations.,16
P000177,DS2_00009,5,Developed Manager's skills in proper company accounting and operating policies.,10
P000178,DS2_00009,5,Successful completion of CPS Advanced Management Training Program; promoted to General Manager within two weeks of completion.,17
P000179,DS2_00009,5,"06/1999 to 02/2003 Area Manager Company Name － City , State Promoted to Area Manager within one year.",14
P000180,DS2_00009,5,"Oversaw management team of 25 employees, including managers, accounting personnel and attendants.",12
P000181,DS2_00009,5,"Developed positive relationships with ""high risk"" clients through daily contact and various departments within the area.",16
P000182,DS2_00009,5,Implemented tenant and customer amenity programs for all locations to enhance services and value.,14
P000183,DS2_00009,5,"Assumed additional management oversight of additional properties, including downtown Class A Office Properties, offsite management of billing accounts and garage operations.",21
P000184,DS2_00009,5,"Improved net operating profit of additional operation by 5% through new technology, policy and procedures.",15
P000185,DS2_00010,20,"OPERATIONS MANAGER Career Overview Experienced and enthusiastic management professional with strong analytical, organizational and problem solving skills.",17
P000186,DS2_00010,20,Created and maintained schedules for 8 departments.,7
P000187,DS2_00010,20,"Consulted with the IT department and oversaw the launch, training and implementation of new salon software.",16
P000188,DS2_00010,20,Directly managed the salon's Operations Coordinator and maintenance team.,9
P000189,DS2_00010,20,"Company Name September 2010 to September 2014 Salon Manager City , State Managed team of 18 professionals.",16
P000190,DS2_00010,20,Directed strategic initiatives to achieve projected monthly sales goals.,9
P000191,DS2_00010,20,"Coordinated and oversaw all day-to-day business operations inclusive of ordering of supplies, payroll, facility maintenance and schedules.",16
P000192,DS2_00010,20,"Provided training, mentoring and guidance for new and existing employees.",10
P000193,DS2_00010,20,"Promoted to Operations Manager of the salon's flagship location in New York, NY in September, 2014.",16
P000194,DS2_00010,20,"Company Name February 2008 to September 2010 Floor Manager City , State Direct liaison between clients and technical staff.",18
P000195,DS2_00010,20,Created and maintained staff schedules.,5
P000196,DS2_00010,20,"Promoted to Salon Manager of the company's Greenwich, CT location in September, 2010.",13
P000197,DS2_00010,20,"Company Name February 2003 to February 2008 Marketing & Public Relations Director/Manager City , State Developed and implemented marketing and business plans, designed press releases and promotional materials.",25
P000198,DS2_00010,20,Coordinated and oversaw all promotional and special events.,8
P000199,DS2_00010,20,Simultaneously managed multiple projects under tight deadlines.,7
P000200,DS2_00010,20,"Developed advertising and PR programs using print media, trade show presentations, press interviews, brochure, videotapes, audio tapes and direct mail campaigns.",21
P000201,DS2_00010,20,Initiated direct marketing programs from creative concept to production and implementation.,11
P000202,DS2_00010,20,Developed in-house database that targeted new customers.,6
P000203,DS2_00010,20,"Negotiated, purchased, and scheduled newspaper, radio, and outdoor advertising.",9
P000204,DS2_00010,20,Supervised the development and maintenance of the company's Web site.,10
P000205,DS2_00010,20,"Company Name August 2001 to February 2013 Administrative Assistant/Receptionist City , State Direct liaison between clients, management and technical staff.",18
P000206,DS2_00010,20,Worked well with all levels of management and regularly assisted managers with projects.,13
P000207,DS2_00010,20,Promoted to Marketing and Public Relations Director/Manager in February 2003.,9
P000208,DS2_00011,2,"Demonstrated success in Network design and management, Enterprise Resource Planning implementation and management, Cloud Technologies and Internet Technologies.",18
P000209,DS2_00011,2,"Well Organized, results oriented individual with proven ability to implement standards, processes and procedures the improve business functionality.",18
P000210,DS2_00011,2,"Solid management skills, capable of building, leading and motivating individuals to maximize productivity while forming cohesive team environments.",18
P000211,DS2_00011,2,​ Directed the implementation of a new Student Information System and Customer Relations Management system for 2 colleges.,17
P000212,DS2_00011,2,Increased core system availability to % by developing standards and architectural governance and implementing best practices.,15
P000213,DS2_00011,2,Led a successful implementation and integration of an acquired college into the Weston Educational Group.,15
P000214,DS2_00011,2,Reduced the incidence of IT issues by 50 % globally by using visualization tools such as Tableau and DOMO to identify trends in support tickets which resulted in more training to address root causes.,33
P000215,DS2_00011,2,Operations Management: Managed all technologies at 10 campuses spread from Florida to California for Weston Educational Group .,17
P000216,DS2_00011,2,"Staff Development: At Weston, restructured the team to a smaller more flexible team and used outsourced resources for more specialized functions.",21
P000217,DS2_00011,2,"At BatchMaster Software, I launched a new consultant group to implement a manufacturing based ERP system using the rapid implementation module I devised.",23
P000218,DS2_00011,2,This increased successful implementation by 80% and reduced implementation time to 4 weeks.,13
P000219,DS2_00011,2,"At BatchMaster Software, I also implemented a support team in India that provided post implementation support based on new policies and procedures I created.",24
P000220,DS2_00011,2,Presented at industry conferences every year starting from 2012 on integrated solutions and automations tools to help improve efficiency and data integrity.,22
P000221,DS2_00011,2,It also reduced the maintenance cost that comes with an outdated system to $0 and allowed us to manage the system remotely.,22
P000222,DS2_00011,2,Managed team of  6 IT  professionals.,6
P000223,DS2_00011,2,Spearheaded cross-functional initiative to achieve a smooth integration of Missouri College after it was acquired into the Weston Education Group .,19
P000224,DS2_00011,2,Strengthened company's business by leading implementation of industry leading SIS for the management of the campuses and CRM for admissions.,20
P000225,DS2_00011,2,Negotiated a new contracts with vendors to reduce prices by as much as 28%.,14
P000226,DS2_00011,2,Developed and launched regular training sessions to help associates with most common reported issues.,14
P000227,DS2_00011,2,Used DOMO to visualize trends in support cases and then developed training materials on the most common reported issues.,19
P000228,DS2_00011,2,"Instituted a new web based support ticketing system which allowed students, faculty and staff members to generate tickets requesting for help.",21
P000229,DS2_00011,2,Prior to this system only staff members could generate support tickets on an internal system.,15
P000230,DS2_00011,2,Recommended and implemented all of the enterprise applications onto the cloud.,11
P000231,DS2_00011,2,This enabled every user to have access to the latest version of the complete Office suite and  One-drive for individual file storage.,21
P000232,DS2_00011,2,"From a system point of view, the enterprise has access to the latest versions of systems from Microsoft plus an infinite access to Microsoft resources to support the infrastructure.",29
P000233,DS2_00011,2,"Oversaw the Student Information System for both brands which had a student portal, faculty portal and several integrations into other systems such as a CRM system and internal applications developed on SharePoint platform.",33
P000234,DS2_00011,2,​ ​Hired and managed a team of Business Analysts and support engineers to support the Student Information System (SIS).,17
P000235,DS2_00011,2,​ Developed business processes and Service Level Agreements used by the business analysts and support engineers.,15
P000236,DS2_00011,2,​ Oversaw an off-shore development team in India to develop innovative solutions on SharePoint platform integrated into the SIS as a means of adding automation to enhance productivity and data validation.,29
P000237,DS2_00011,2,​ Managed the relationships with vendors associated with the student information system.,11
P000238,DS2_00011,2,​ Started with the organization as an IT Manager and led the team to stabilize the environment.,16
P000239,DS2_00011,2,​ Collaborated with the HR department to develop on-board training on systems.,10
P000240,DS2_00011,2,This increased the ROI on new associated from day 1 and reduced the number of support tickets from new associates.,20
P000241,DS2_00011,2,​ I was a key member in the process of planning and moving from a small server room to AT&T collocated datacenter.,22
P000242,DS2_00011,2,​ I advised in the development and relocation of two of the West Coast campuses.,14
P000243,DS2_00011,2,"01/2005 to 08/2009 President Company Name － City , State Aldreteem Inc was created to support small to mid-sized organizations that wanted to implement Enterprise Resource Planning systems but did not have the resources to manage the system in-house.",33
P000244,DS2_00011,2,"Created new revenue streams through by partnering with other ERP vendors that did not have our expertise to deploy solutions on Sage, SAP, Great Plains and Epicor.",27
P000245,DS2_00011,2,Generated new business by signing a national agreement with a leading national hospitality company to manage their ERP system and provide auxiliary IT services.,24
P000246,DS2_00011,2,Strengthened company's business by leading implementation of all projects.,9
P000247,DS2_00011,2,"03/2001 to 12/2004 Director, Client Services Company Name － City , State BatchMaster Software Inc develops an Enterprise Resource Planning system for the process manufacturing industries integrated into Sage Platinum, SAP Business One and Microsoft Great Plains.",33
P000248,DS2_00011,2,"Prior to joining eWorkPlace, their solution was deployed through a network of resellers who did the implementation and primary support.",20
P000249,DS2_00011,2,I created new revenue streams for both parties by creating the Client Services group where the resellers focused on client relationships and sales.,23
P000250,DS2_00011,2,The department performed implementations and support.,6
P000251,DS2_00011,2,Created the Rapid implementation process where we reduced the implementation from months to 4 weeks.,15
P000252,DS2_00011,2,Strengthened company's business by initiating and leading the development of the relationship with SAP.,14
P000253,DS2_00011,2,Spearheaded the implementation of an off-shore support team to support customers post implementation.,12
P000254,DS2_00011,2,Customers found the team helpful with upgrades and update and well as phone support software maintenance renewal increased by 80%.,20
P000255,DS2_00011,2,"Created and spearheaded the customer satisfaction survey , resulting in a 45 % increase in customer satisfaction which resulted in customers renewing their yearly software maintenance which increased revenue.",27
P000256,DS2_00012,11,Coordinated with Owner to evaluate and improve software and hardware interfaces.,11
P000257,DS2_00012,11,Documented all software development methodologies in technical manuals to be used by c ompany employees in future projects.,18
P000258,DS2_00012,11,Supported Chief Operating Officer with daily operational functions.,8
