Phrase_ID,Resume_ID,Category,Phrase,Word_Count
P000033,87118391,SALES,Built customer loyalty by placing follow-up calls for customers who reported product issues.,12
P000034,33578873,SALES,SALES Summary I am looking for a career position with a company that I can be rewarded by my desire to succeed.,22
P000035,33578873,SALES,I am a self starter and motivated to do my best.,11
P000036,33578873,SALES,I am comfortable doing what it takes to create new business and have an excellent history of retaining current business.,20
P000037,27607632,SALES,SALES Summary Self-motivated individual offering a strong work ethic and determination to complete tasks in a timely manner.,17
P000038,27607632,SALES,Accurate and detail-oriented with extensive bookkeeping and clerical knowledge.,8
P000039,27607632,SALES,Highlights Accounts receivable professional Effective time management,7
P000040,27607632,SALES,Knowledge of Sap Excellent managerial techniques,6
P000041,27607632,SALES,"ADP, SAP, MICROSOFT WORD, EXCEL, OUTLOOK, QUICKBOOKS Accomplishments Reduced the open invoice cycle time from 90 days to 10 days by developing",22
P000042,27607632,SALES,"Experience 04/2016 to Current Sales Company Name － City , State Sold Auto, Home , Renters, Motorcycle policies, Cross selling to current and",19
P000043,27607632,SALES,Followed up with current and old customers to ensure happy with services.,12
P000044,27607632,SALES,"01/2015 to 03/2016 SERVICE ADMIN/BOOKEEPER, RUSH ENTERPRISES Company Name － City , State Match and coded all paperwork and invoices for departments.",17
P000045,27607632,SALES,"Assisted managers with hiring procedures, screening of candidates, coordinating interviews.",10
P000046,27607632,SALES,Assisted with all new hire paperwork such as benefit packages and i9 forms.,13
P000047,27607632,SALES,Ordered all parts and delivered them as well Handled all month end &,12
P000048,27607632,SALES,"Responsible for the continuing education, training, and certification of new and experienced employees Filed all invoices and paperwork as needed.",20
P000049,27607632,SALES,Processed all Peterbilt & Cummins warranty claims Handled all Paccar,9
P000050,27607632,SALES,Reconciled vendor statements and checked for accuracy.,7
P000051,27607632,SALES,Assisted with Month End Close.,5
P000052,27607632,SALES,Filed daily cash sales summary sheets.,6
P000053,27607632,SALES,Processed all new hire & drug screen paperwork as needed.,9
P000054,27607632,SALES,Performed daily reports for four different locations of units in areas.,11
P000055,27607632,SALES,Contacted several vendors for all units due for service & non payments,11
P000056,27607632,SALES,Handled all inventory for two locations and input into SAP system.,11
P000057,27607632,SALES,"12/2014 to 02/2015 INVENTORY CONTROL SPECIALIST Company Name － City , State Responsible for ensuring inventory production quality and efficiency levels",17
P000058,27607632,SALES,and implementing corrective action as required.,6
P000059,27607632,SALES,"Prepared shipping documents for products scheduled to ship (i.e., Fed Ex,",10
P000060,27607632,SALES,Monitored inventory and controls to ensure adequate product supply,9
P000061,27607632,SALES,Maintained distribution reports and logs as well as all sales and collections,12
P000062,27607632,SALES,"06/2008 to 11/2014 AGENCY SUPPORT SPECIALIST Company Name － City , State Rated all sales quotes including flood, home, and auto, motorcycle, boat,",19
P000063,27607632,SALES,& travel trailers through about seven different companies to see what rate,11
P000064,27607632,SALES,best fit customer's needs and wants.,6
P000065,27607632,SALES,"Sold auto, home, commercial policies through Nationwide, Progressive,",8
P000066,27607632,SALES,and Hartford to customers depending on there needs.,8
P000067,27607632,SALES,Expertise in resolving escalated customer issues.,6
P000068,27607632,SALES,Handled all commercial auto & business calls for any insured needing a,11
P000069,27607632,SALES,certificate of liability or adding additional insured to policy.,9
P000070,27607632,SALES,Handled all accounts that were escrowed & verified all accounts.,9
P000071,27607632,SALES,"Education 2017 BBA : Accounting University Of Texas of the Permian Basin － City , State , United States Accounting Skills Accounts receivable, ADP, closing, cold",22
P000072,27607632,SALES,"calling, customer relations, inventory, managerial,EXCEL, mail, office, OUTLOOK, MICROSOFT WORD, Month End Close, policies, quality, QUICKBOOKS, SAFETY, selling, sales, SAP, shipping, time management",24
P000073,23760084,SALES,"SALES Summary General Sales Manager offering 17-year background in sales and customer service, as well as leading a cohesive team in consistently achieving aggressive sales goals.",25
P000074,23760084,SALES,Described use and operation of merchandise to customers.,8
P000075,23760084,SALES,Ensured that the project vision and design intent were reflected.,10
P000076,23760084,SALES,Maintained friendly and professional customer interactions.,6
P000077,23760084,SALES,"Opened and closed the store, including counting cash, opening and closing cash registers and creating staff assignments.",17
P000078,23760084,SALES,Wrote sales slips and sales contracts.,6
P000079,23760084,SALES,"January 2005 to June 2013 Company Name City , State General Sales Manager Identify staff vacancies and recruit, interview and select applicants.",21
P000080,23760084,SALES,"Determine staffing requirements, and interview, hire and train new employees, or oversee those personnel processes.",15
P000081,23760084,SALES,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",16
P000082,23760084,SALES,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion and employee benefits.",20
P000083,23760084,SALES,Plan and conduct new employee orientation to foster positive attitude toward organizational objectives.,13
P000084,23760084,SALES,"Perform difficult staffing duties, including dealing with understaffing, refereeing disputes, firing employees, and administering disciplinary procedures.",16
P000085,23760084,SALES,"Analyze training needs to design employee development, language training and health and safety programs.",14
P000086,23760084,SALES,"Manage staff, preparing work schedules and assigning specific duties.",9
P000087,23760084,SALES,"Serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems.",19
P000088,23760084,SALES,"Plan, organize, direct, control or coordinate the personnel, training, or labor relations activities of an organization.",16
P000089,23760084,SALES,"Develop, administer and evaluate applicant tests.",6
P000090,23760084,SALES,Prepare personnel forecast to project employment needs.,7
P000091,23760084,SALES,Represent organization at personnel-related hearings and investigations.,6
P000092,23760084,SALES,"Plan and direct activities such as sales promotions, coordinating with other department heads as required.",15
P000093,23760084,SALES,Review operational records and reports to project sales and determine profitability.,11
P000094,23760084,SALES,Resolve customer complaints regarding sales and service.,7
P000095,23760084,SALES,Monitor customer preferences to determine focus of sales efforts.,9
P000096,23760084,SALES,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,15
P000097,23760084,SALES,"Direct, coordinate, and review activities in sales and service accounting and recordkeeping, and in receiving and shipping operations.",18
P000098,23760084,SALES,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",15
P000099,23760084,SALES,Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,14
P000100,23760084,SALES,Plan store layouts or design displays.,6
P000101,23760084,SALES,"August 1998 to October 2004 Company Name City , State Store Manager Resolve customer complaints regarding sales and service.",18
P000102,23760084,SALES,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",17
P000103,23760084,SALES,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",24
P000104,23760084,SALES,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,19
P000105,23760084,SALES,Select products or accessories to be displayed at trade or special production shows.,13
P000106,23760084,SALES,"Identify staff vacancies and recruit, interview and select applicants.",9
P000107,23760084,SALES,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations.",20
P000108,23760084,SALES,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.,24
P000109,23760084,SALES,Prepare and follow budgets for personnel operations.,7
P000110,30083943,SALES,Compliance Maintained compliance with regulatory standards by [compliance activity] .,9
P000111,30083943,SALES,"Family Support Educated families about procedures, treatment regimens, prevention and care.Documentation Documented patient intake information.Patient Care Ensured quality control through admissions, assessment, treatment and referral for a broad range of patients.",29
P000112,30083943,SALES,"Reporting Prepared regular charts on patient's health related history, medication restrictions and allergies.OSHA Compliance Properly disposed of daily biohazard waste in compliance with federal and local regulations.",26
P000113,30083943,SALES,"Collaboration Compliance Family Support Educated families about procedures, treatment regimens, prevention and care.",13
P000114,30083943,SALES,Maintained compliance with regulatory standards by [compliance activity] .,8
P000115,30083943,SALES,Collaborated with physicians to plan and implement patient care.,9
P000116,30083943,SALES,i know how to prep a pt for surgery making sure the saftey of the pt before during and after surgery.,21
P000117,30083943,SALES,i have done moderate sedation of pts call the family during surgery make sure chart is correct and everything is signed before surgery.,23
P000118,30083943,SALES,making sure any blood products are needed,7
P000119,20552814,SALES,"SALES Summary Enthusiastic, and outgoing Customer Service Associate proficient at building positive relationships with new and existing",17
P000120,20552814,SALES,customers by offering superior customer service.,6
P000121,20552814,SALES,Skilled in establishing rapport with clients.,6
P000122,20552814,SALES,Described product to customers and accurately explained details and care of merchandise.,12
P000123,20552814,SALES,Politely assisted customers in person and via telephone.,8
P000124,20552814,SALES,Answered product questions with up-to-date knowledge of sales and store promotions.,10
P000125,20552814,SALES,"Bagged, boxed or gift-wrapped sold merchandise per customer's request.",8
P000126,20552814,SALES,"Provided ongoing guest service, including giving fashion advice.",8
P000127,20552814,SALES,Maintained cleanliness and presentation of stock room and production floor.,10
P000128,20552814,SALES,Built long-term customer relationships and advised customers on purchases and promotions.,10
P000129,20552814,SALES,Routinely answered customer questions regarding merchandise and pricing.,8
P000130,20552814,SALES,Asked open-ended questions to assess customer needs.,6
P000131,20552814,SALES,"Designed displays to make the store experience interactive, engaging and reassuring.",11
P000132,20552814,SALES,"Learned, referenced and applied product knowledge information.",7
P000133,20552814,SALES,"Replenished supplies, bags and other materials at each cash wrap.",10
P000134,20552814,SALES,Folded and arranged garments in attractive displays.,7
P000135,20552814,SALES,Recommended alternative items if product was out of stock.,9
P000136,20552814,SALES,"Company Name City , State Laborer/ Housekeeping 09/2013 to 06/2014 Properly labeled and diluted all cleaning solutions.",13
P000137,20552814,SALES,"Supervised the cleaning, maintenance and care of building and grounds.",10
P000138,20552814,SALES,Thoroughly scrubbed and cleaned bathroom fixtures and partitions.,8
P000139,20552814,SALES,"Washed and spot-cleaned files, desktops, office glass, partitions, doors and walls.",10
P000140,20552814,SALES,Spot cleaned furniture and carpet.,5
P000141,20552814,SALES,"Cleaned building floors by sweeping, mopping, scrubbing and vacuuming.",9
P000142,20552814,SALES,Promoted building security by locking doors and checking electrical appliances for safety hazards.,13
P000143,20552814,SALES,"Set up, arranged and removed decorations, tables, chairs, ladders and scaffolding to prepare facilities for large events.",17
P000144,20552814,SALES,"Scrubbed, top-coated, buffed and varnished hard floors.",6
P000145,20552814,SALES,Worked here again in 2015.,5
P000146,20552814,SALES,"Company Name City , State Cashier 11/2011 to 05/2012 Answered several calls per day by addressing customer inquiries, solving problems and providing new product information.",22
P000147,20552814,SALES,Greeted customers entering the store to ascertain what each customer wanted or needed.,13
P000148,20552814,SALES,Provided an elevated customer experience to generate a loyal clientèle.,10
P000149,20552814,SALES,"Company Name City , State Cashier/ Food Preperation/ Tanning 01/2011 to 07/2011 Answered questions regarding the store and its merchandise.",15
P000150,20552814,SALES,Greeted customers and ascertained customers' needs.,6
P000151,20552814,SALES,Stocked shelves and supplies and organized displays.,7
P000152,20552814,SALES,"Baked, roasted, broiled, and steamed meats, fish, vegetables, and other foods Trained kitchen staff on proper use of equipment, food handling, and portion sizing.",24
P000153,20552814,SALES,"Company Name City , State Technician 06/2010 to 09/2010 Cared for animals pre-surgery.",9
P000154,20552814,SALES,Helped euthanize sick and injured animals when appropriate.,8
P000155,20552814,SALES,Cared for animals in both routine and emergency situations.,9
P000156,20552814,SALES,Weighed and helped preform exams on animals and recorded information in files.,12
P000157,20552814,SALES,Help Vet on duty with surgeries.,6
P000158,20552814,SALES,"Company Name City , State Substitute Secretary / Substitute Teachers aide 08/2009 to Current Promoted good behavior by using the positive reinforcement method.",20
P000159,20552814,SALES,Helped distribute employee notices and mail around the office.,9
P000160,20552814,SALES,Screened all visitors and directed them to the correct employee or office.,12
P000161,20552814,SALES,Answered and quickly redirected several calls per day.,8
P000162,20552814,SALES,Answered and managed incoming and outgoing calls while recording accurate messages.,11
P000163,20552814,SALES,"Maintained a clean reception area, including lounge and associated areas.",10
P000164,20552814,SALES,Helped with children that needed direct supervision at all times.,10
P000165,20552814,SALES,"Company Name City , State Teller 12/2006 to 02/2009 Organized, stocked and maintained the teller window area.",14
P000166,20552814,SALES,Organized and removed online banking files no longer in use.,10
P000167,20552814,SALES,"Executed customer transactions, including deposits, withdrawals, money orders and checks.",10
P000168,20552814,SALES,Rapidly and efficiently prepared customer and ATM cash and change orders.,11
P000169,20552814,SALES,Coordinated daily cash reconciliation at a high-volume location.,7
P000170,20552814,SALES,Maintained balancing record with a high rate of accuracy.,9
P000171,20552814,SALES,"Company Name City , State Customer Service 04/2006 to 12/2006 Office Cleaned grocery shelves, storage area and work areas and kept floors free of spills, water and hazardous debris.",26
P000172,20552814,SALES,Refilled and rotated items on shelves to maintain well-stocked inventory.,9
P000173,20552814,SALES,"Directly oversaw the overnight store operations, including issuing staff assignments and creating production lists.",14
P000174,20552814,SALES,Verified all deliveries against invoices and completed shortage and overage reports.,11
P000175,20552814,SALES,Developed knowledge about products and sales items to answer shoppers' questions.,11
P000176,20552814,SALES,Maintained up-to-date knowledge of product and service changes.,7
P000177,20552814,SALES,Strong leader of customer support staff.,6
P000178,20552814,SALES,"Supervised invoice processing, purchase orders, expense reports, credit memos and payment transactions.",12
P000179,20552814,SALES,Created daily and weekly cash reports for accounting management.,9
P000180,20552814,SALES,Monitored payments due from clients and promptly contacted clients with past due payments.,13
P000181,20552814,SALES,"Company Name City , State Housekeeping 05/2012 to Current Cleaned rooms to the satisfaction of all clients.",15
P000182,20552814,SALES,"Safely operated equipment such as vacuum cleaners, floor buffers and carpet machines.",12
P000183,20552814,SALES,Cleaned and maintained bathrooms and showers and swept and mopped floors.,11
P000184,20552814,SALES,Traveled to and from work sites in a timely manner.,10
P000185,20552814,SALES,"Dusted furniture, walls, machines and equipment.",6
P000186,20552814,SALES,Dusted and mopped all hard surfaces.,6
P000187,20552814,SALES,Gathered and emptied trash and recycling bins.,7
P000188,20552814,SALES,Polished furniture and metal fixtures.,5
P000189,20552814,SALES,"Managed quality communication, customer support and product representation for each client.",11
P000190,20552814,SALES,Worked under strict deadlines and responded to service requests and emergency call-outs.,11
P000191,40987524,SALES,SALES Summary Over 17 years of sales and operations management experience in specialty and big-box retail and 4 years sales experience in the automotive sector.,24
P000192,40987524,SALES,"Experienced in hiring, training, supervision, and coaching.",7
P000193,40987524,SALES,"Proven skills in operations and human resource management, planning, negotiating, organizing and overseeing projects, and events.",16
P000194,40987524,SALES,Committed to the highest work ethic and attainment of organizational goals and objectives.,13
P000195,40987524,SALES,Oversaw multiple stores in the Southeast and worked directly with local management to drive sales and operational success.,18
P000196,40987524,SALES,Initiated sales and merchandising policies that were adopted company-wide.,8
P000197,40987524,SALES,Recipient of Best Buy's Top Gun Award multiple times for sales and productivity.,13
P000198,40987524,SALES,"Experience Sales 07/2015 to Current Company Name City , State Identified prospective customers using lead generating methods and performing an average of 30 cold calls per day.",25
P000199,40987524,SALES,Participated in various incentive programs and contests designed to support achievement of production goals.,14
P000200,40987524,SALES,"Developed tool to track and monitor personal sales opportunities, deals in progress and finished contracts.",15
P000201,40987524,SALES,Responsible for implementing all business-building and relationship-building expectations with uniquely assigned accounts and customers.,12
P000202,40987524,SALES,"Took daily inbound calls and internet inquiries, faxes, and consumer and business credit applications for assigned accounts and clients.",19
P000203,40987524,SALES,"Sales 08/2012 to 07/2015 Company Name City , State Implemented a consultative selling approach with all clients.",14
P000204,40987524,SALES,Contacted new and existing customers to discuss how their needs could be met with specific products and services.,18
P000205,40987524,SALES,"Quoted prices, credit terms and other bid specifications.",8
P000206,40987524,SALES,"Negotiated prices, terms of sales and service agreements.",8
P000207,40987524,SALES,"Completed 30-60 outbound calls daily, with average conversion rate of 50 %.",10
P000208,40987524,SALES,Responded to all customer inquiries in a timely manner.,9
P000209,40987524,SALES,exceptionally high CSI scores by offering the highest quality customer service,11
P000210,40987524,SALES,relationships after the sale to generate referrals and repeat business.,10
P000211,40987524,SALES,Took role of F&I,5
P000212,40987524,SALES,manager for a four month period in which I maintained highly accurate paperwork,13
P000213,40987524,SALES,and an average of $1100 back-end per deal.,7
P000214,40987524,SALES,Helped develop an Internet Sales Team that worked,8
P000215,40987524,SALES,internet deals from the initial submittal through the sale and delivery process.,12
P000216,40987524,SALES,"Advanced user of Xtreme Service Drive sales management software, generating pipeline and account reports weekly.",15
P000217,40987524,SALES,"Store Manager 08/2011 to 08/2012 Company Name City , State Directed and supervised employees engaged in sales, inventory-taking and reconciling cash receipts.",18
P000218,40987524,SALES,"Determined staff promotions and demotions, and terminated employees when necessary.",10
P000219,40987524,SALES,Completed weekly schedules according to payroll policies.,7
P000220,40987524,SALES,Maintained daily record of all transactions.,6
P000221,40987524,SALES,Addressed and corrected sales staff communication issues in a tactful and effective manner.,13
P000222,40987524,SALES,Opened a new store location and assisted in recruiting and training new staff.,13
P000223,40987524,SALES,"Market Area Manager/Store Manager 03/2008 to 08/2010 Company Name City , State Oversaw general operations of 5 stores in the Southeast.",17
P000224,40987524,SALES,Developed and shared best practices across the company.,8
P000225,40987524,SALES,Oversaw the development and launch of multiple product lines.,9
P000226,40987524,SALES,"Recruited, hired and trained new employees for various stores and store openings Revamped in-store sales and merchandising programs, resulting in a 60 % improvement in sales .",24
P000227,40987524,SALES,"Mentored, coached and trained 10 team members.",7
P000228,40987524,SALES,Identified inefficiencies and made recommendations for process improvements.,8
P000229,40987524,SALES,Conducted new employee orientation to foster positive attitude toward organizational objectives.,11
P000230,40987524,SALES,"Identified staff vacancies and recruited, interviewed and selected applicants.",9
P000231,40987524,SALES,Designed floor plan to make the store experience interactive and engaging.,11
P000232,40987524,SALES,Trained all new managers on store procedures and policies.,9
P000233,40987524,SALES,Worked closely with the district manager to formulate and build the store brand.,13
P000234,40987524,SALES,"Store Manager 06/2006 to 03/2008 Company Name City , State Directed and supervised employees engaged in sales, inventory-taking and reconciling cash receipts.",18
P000235,40987524,SALES,Reorganized the sales floor to meet company demands.,8
P000236,40987524,SALES,Stocked and restocked inventory when shipments were received.,8
P000237,40987524,SALES,Addressed customer inquiries and resolved complaints.,6
P000238,40987524,SALES,Completed a series of training sessions to advance from Assistant Manager to Store Manager.,14
P000239,40987524,SALES,Trained staff to deliver outstanding customer service.,7
P000240,40987524,SALES,Delivered excellent customer service by greeting and assisting each customer.,10
P000241,40987524,SALES,"Department Manager 04/1997 to 03/2004 Company Name City , State Addressed and corrected sales staff communication issues in a tactful and effective manner.",20
P000242,40987524,SALES,Wrote order supply requests to replenish merchandise.,7
P000243,40987524,SALES,"Directed and supervised employees engaged in sales, inventory-taking and reconciling cash receipts.",11
P000244,40987524,SALES,Served as mentor to junior team members.,7
P000245,40987524,SALES,Led trainings for up to 20 employees on a weekly basis.,11
P000246,40987524,SALES,Planned and led training programs on staff development.,8
P000247,40987524,SALES,"Offered specific training programs to help workers improve sales , merchandising and inventory control .",13
P000248,40987524,SALES,Managed new product and content releases.,6
P000249,40987524,SALES,"Department Manager 01/1993 to 01/1997 Company Name City , State Trained staff to deliver outstanding customer service.",14
P000250,40987524,SALES,"Education Bachelor of Arts : Religion /Psychology 2006 Charleston Southern University City , State Skills Customer Service",14
P000251,40987524,SALES,Direct-to-Vendor Buying/Ordering  Internet Sales Inventory Control  Loss Prevention,6
P000252,29134721,SALES,"SALES Career Overview During the course of my career as an IT Professional, I have developed a varied set of I.T.",20
P000253,29134721,SALES,I hold expert knowledge in applying technology to business processes resulting in a more cost effective and efficient enterprise.,19
P000254,29134721,SALES,"My accomplishments as a major player in the successful pioneering and implementation of the ""Paperless Office"" in 33 local Virginia agencies, created a paradigm shift in the culture of how agencies currently do business.",34
P000255,29134721,SALES,"The experience of being a road warrior leading the day to day ""hands on"" training of the user afforded me a ""real life"" work experience and invaluable insight in user training needs, challenges, acceptance and buy-in.",35
P000256,29134721,SALES,"The knowledge I gained from the users resulted into successful problem solving, change management and implementation outcomes of enterprise management systems.",21
P000257,29134721,SALES,This kind of knowledge and experience cannot be gained in a classroom or from a white paper.,18
P000258,29134721,SALES,"I have a strong ability to quickly capture business rules, policies, procedures, workflow issues, functional requirements and resolve client and technical roadblocks hindering successful implementation.",25
P000259,29134721,SALES,I maintain a reputation of improving the work environment via technology and delivering a solution that surpasses client expectations.,19
P000260,29134721,SALES,Strong analytical skills used in business and requirements analysis for a variety of industries.,14
P000261,29134721,SALES,Keen problem solving skills allowing rapid assimilation and resolution of complex problems.,12
P000262,29134721,SALES,"Ability to anticipate issues, think proactive, and use critical thinking skills to plan stakeholder elicitation sessions.",16
P000263,29134721,SALES,Ability to quickly scope training and implementation requirements of project.,10
P000264,29134721,SALES,"Able to excel in fast-paced environments, with aggressive project timeliness.",9
P000265,29134721,SALES,"Excellent problem analysis, troubleshooting, and resolution skills.",7
P000266,29134721,SALES,Quick to identify weak links in enterprise implementation and ability to effectively find solutions.,14
P000267,29134721,SALES,Planning Extensive team management experience covering large and small projects.,10
P000268,29134721,SALES,"Articulation of concerns in technology project planning to senior management, including the impact, readiness, and buy-in related to human factors.",19
P000269,29134721,SALES,"Familiar with general project management practices, including the use of project management software/tools.",12
P000270,29134721,SALES,"Demonstrates good organizational and delegation skills and efficient, effective management of one's own and other's time.",16
P000271,29134721,SALES,Communications Skilled in building strong relationships with project stake-holders.,8
P000272,29134721,SALES,Ability to market a project to successfully obtain Stakeholder and user buy-in.,11
P000273,29134721,SALES,Excellent written and oral communication skills with the ability to communicate appropriately in business and technical situations at all levels in matrix organizations.,23
P000274,29134721,SALES,"Articulation of complex issues in technology project planning to senior management, including technology impact, and human factors.",17
P000275,29134721,SALES,"Testing Working knowledge of industry standard software testing methodologies, tools, processes, and /practices.",12
P000276,29134721,SALES,"Training Results-driven, team-oriented and posses a personable demeanor and positive attitude.",9
P000277,29134721,SALES,"Professional, well organized and ability to present training to diverse population.",11
P000278,29134721,SALES,Ability in taking up new theories and concepts as well as responsibilities.,12
P000279,29134721,SALES,Strong ability to recognize and accommodate various user training levels and challenges.,12
P000280,29134721,SALES,Quickly learn new software and software training tools.,8
P000281,29134721,SALES,Highly effective in scoping overall training needs and the needed resources of enterprise projects.,14
P000282,29134721,SALES,Experience handling technical issues that arise before and during training sessions.,11
P000283,29134721,SALES,"Experience in technical writing such as coursework, presentations, user manuals.",10
P000284,29134721,SALES,Technical support professional with IT background.,6
P000285,29134721,SALES,"Enjoys troubleshooting to find solutions to difficult training projects, workflow and technical issues.",13
P000286,29134721,SALES,"Qualifications Windows2000, Windows XP, Windows Vista, Linux, Macintosh.",8
P000287,29134721,SALES,40 today Computer/Technical Literacy Computer-literate performer with extensive software proficiency covering wide variety of applications.,13
P000288,29134721,SALES,"40 today Analytical/Research Skills, Flexible team player who thrives in environments requiring ability to effectively prioritize and juggle multiple concurrent projects.",20
P000289,29134721,SALES,40 today Flexibility/Adaptability/Managing Multiple tasks Flexible team player who thrives in environments requiring ability to effectively prioritize and juggle multiple concurrent projects.,21
P000290,29134721,SALES,"Goal-driven leader who maintains a productive climate and confidently motivates, mobilizes, and coaches employees to meet high performance standards.",18
P000291,29134721,SALES,Personable professional whose strengths include cultural sensitivity and an ability to build rapport with a diverse workforce in multicultural settings.,20
P000292,29134721,SALES,"Results-driven achiever with exemplary planning and organizational skills, along with a high degree of detail orientation.",15
P000293,29134721,SALES,Innovative problem-solver who can generate workable solutions and resolve complaints.,9
P000294,29134721,SALES,40 today Teamwork Resourceful team player who excels at building trusting relationships with customers and colleagues.,16
P000295,29134721,SALES,"Suggested a business solution to make a policy and procedure change versus an IT development solution which proved to result in an estimated $1 million (1,) savings for the State VDSS IT department.",33
P000296,29134721,SALES,"Work Experience June 2011 to Current Company Name City , State Sales March 2013 to August 2013 Company Name City , State Training Consultant/Business Analyst Developed DW refresher course and new user curriculum.",30
P000297,29134721,SALES,Developed new versions of the DW training user manuals.,9
P000298,29134721,SALES,"Served as liaison to user, administrator, developers and program managers, suggesting improvements to existing functionality.",15
P000299,29134721,SALES,Recognized the need for improvements to VDSS DW's routine training techniques Communicated the need to update training resources such as the use of curriculum development software (Articulate).,27
P000300,29134721,SALES,"Used Microsoft Business Office Suite products and Snag It, Conducted all training of Data Warehouse to state and local administrators.",20
P000301,29134721,SALES,"January 2008 to June 2008 Company Name City , State Training Consultant/Business Analyst Identified and documented functional requirements for the implementation of an enterprise system which incorporated HR, E-Finance, E-Pharmacy, Crisis, Case Management and Reporting.",31
P000302,29134721,SALES,"Developed user readiness surveys, business process models, vendor selection guide and a training implementation plan beyond the assigned project's Statement of Work.",22
P000303,29134721,SALES,Liaison between software vendors and stakeholder.,6
P000304,29134721,SALES,"January 2006 to January 2008 Company Name City , State Training Consultant/Business Analyst Project Lead Trainer for ChildWins (electronic case management project).",20
P000305,29134721,SALES,Successfully directed all aspects of training as well as solely trained a complex 13 system search application (SPIDeR) to approximately 3000 local and state staff resulting in approximately 85% increase in use of SPIDeR application.,35
P000306,29134721,SALES,"Trained Data Warehouse statewide, (a complex reporting and statistical application), resulting in approximately 80% increase to application usage.",18
P000307,29134721,SALES,"Reduced training expenses by effectively reducing the standard training travel staff of 2 trainers to 1, meeting VDSS training goals and standards.",22
P000308,29134721,SALES,Developed DW curriculum in several versions to accommodate User needs.,10
P000309,29134721,SALES,Developed & updated multiple versions of the DW training user manuals.,10
P000310,29134721,SALES,Represented State VDSS by serving on various local committees.,9
P000311,29134721,SALES,"Served as liaison to user, administrator, developers and program managers, suggesting improvements to existing functionality and training techniques.",18
P000312,29134721,SALES,Suggested updated training resources such as the use of curriculum development software (Articulate).,13
