JD_ID,EXP_JD_ID,Industry,Role_Family,Seniority,Region,Framing,Full_Job_Description,Source_Phrases
JD011,EXP_043,Sales / Business Development,Sales,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Sales
**Location:** China

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD012,EXP_044,Sales / Business Development,Sales,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Sales
**Location:** China

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD013,EXP_045,Sales / Business Development,Sales,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Europe

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD014,EXP_046,Sales / Business Development,Sales,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Europe

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD015,EXP_047,Sales / Business Development,Sales,Senior-Level,Singapore,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Singapore

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD016,EXP_048,Sales / Business Development,Sales,Senior-Level,Singapore,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Singapore

**Responsibilities:**
- Communicate value to customers to promote new business.
- Acquire new clients through outreach efforts.
- Adapt communication plans and messages in support of colleagues.
- Prepare periodic sales reports highlighting volume and expansion opportunities.
- Maintain existing customer accounts.
- Build and maintain a strong sales presence for [Company].

**Requirements:**
- Submit a current resume for consideration.
- Demonstrate proficiency in English.
- Utilize [Company] Office software effectively.
- Maintain active use of a CRM platform.
- Maintain comprehensive product and pricing knowledge.
- Negotiate contracts with prospective clients.

**Competencies:**
- Drive consistent results.
- Demonstrate achievement orientation.
- Act as a self-starter.
- Exhibit a growth mindset.
- Collaborate across functions.
- Represent diverse customer perspectives to stakeholders.
- Foster positive interpersonal relationships.
- Establish robust customer and partner connections.","P_022122, P_020521, P_001604, P_001203, P_020521_2, P_012803, P_014854, P_013777, P_019706, P_004045, P_004985, P_020735, P_012897, P_006892, P_012376, P_011539, P_013777_2, P_012897_2, P_014842, P_019936"
JD017,EXP_081,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD018,EXP_082,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD019,EXP_083,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD020,EXP_084,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,China,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** China

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD021,EXP_085,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Europe,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD022,EXP_086,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Europe,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** Europe

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD023,EXP_087,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Singapore,Neutral,"**Job Title:** Entry-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD024,EXP_088,Procurement / Sourcing / Supply Chain,Procurement,Entry-Level,Singapore,Balanced,"**Job Title:** Entry-Level Procurement
**Location:** Singapore

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD025,EXP_089,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,USA,Neutral,"**Job Title:** Senior-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
JD026,EXP_090,Procurement / Sourcing / Supply Chain,Procurement,Senior-Level,USA,Balanced,"**Job Title:** Senior-Level Procurement
**Location:** USA

**Responsibilities:**
- Prepare and consolidate supply chain results and performance trends.
- Implement continuous improvements for sourcing activities by identifying and adopting best practices.
- Negotiate prices and contract terms with vendors.
- Manage category, merchandising, and supply chain functions.
- Prepare and review marketing material, transaction memos, and legal documentation.
- Resolve transactional issues as they arise.
- Ensure stock shortfalls are avoided while maintaining minimum stock levels.
- Develop a new portfolio of clients from [Location].

**Requirements:**
- Analyze forecasted demand versus production and supply capacities to adjust accordingly.
- Build systems to manage sourcing, inspection, merchandising, financing, and shipping.
- Analyze procurement and supply chain processes.
- Perform ongoing supplier evaluation and improvement.
- Grow the product category profitably in line with margin targets, working capital, and inventory requirements.
- Prepare reports to meet audit requirements.

**Competencies:**
- Break down and solve complex business problems.
- Use data insights to identify opportunities and improve customer experience.
- Influence stakeholders across all levels of the organization.
- Apply critical thinking to solve challenges.
- Liaise with customer services to ensure queries are resolved in a timely manner.
- Cultivate and manage productive supplier relationships.
- Collaborate with cross-functional teams to drive effective product marketing.
- Mentor and coach colleagues to build high-performing teams.","P_018377, P_018149, P_020937, P_019300, P_006603, P_008504, P_018139, P_007322, P_018140, P_008465, P_018153, P_018148, P_008503, P_020947, P_008161, P_008160, P_018158, P_008515, P_007426, P_008498, P_008505, P_018159"
