JD_ID,Industry,Role_Family,Seniority,Region,Framing,Full_Job_Description,Source_Phrases
EXP_011,Sales / Business Development,Sales,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Sales
**Location:** China

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_012,Sales / Business Development,Sales,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Sales
**Location:** China

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_013,Sales / Business Development,Sales,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Europe

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_014,Sales / Business Development,Sales,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Europe

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_015,Sales / Business Development,Sales,Senior-Level,Singapore,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Singapore

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_016,Sales / Business Development,Sales,Senior-Level,Singapore,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Singapore

**Responsibilities:**
- Build and maintain a strong sales presence for [Company].
- Create and adapt communication plans and messages in support of local colleagues.
- Research and present technical solutions to clients to solve business challenges.
- Acquire new clients through proactive canvassing.
- Prepare periodic sales reports showing sales volume, potential sales, and areas of expansion.
- Communicate value to customers to promote new business.
- Develop sales matrices and enable the broader sales strategy.

**Requirements:**
- Submit a resume for consideration.
- Demonstrate proficiency in English language.
- Maintain competitive product and pricing knowledge.
- Utilize [Company] Office suite tools effectively.
- Apply significant experience with CRM programs.
- Maintain knowledge required to demonstrate standard equipment and software.

**Competencies:**
- Demonstrate a track record of driving results.
- Exhibit achievement orientation in all tasks.
- Cultivate a growth mindset.
- Maintain strong interpersonal relationships.
- Coach others to reach peak performance.
- Build key business partnerships.","P_012803, P_001604, P_002580, P_020521, P_001203, P_022122, P_014305, P_014854, P_013777, P_004985, P_019706, P_004045, P_011397, P_012897, P_006892, P_011539, P_013777, P_014842, P_001340"
EXP_017,Sales / Business Development,Sales,Entry-Level,USA,Neutral,"**Job Title:** Entry-Level Sales
**Location:** USA
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_018,Sales / Business Development,Sales,Entry-Level,USA,Balanced,"**Job Title:** Entry-Level Sales
**Location:** USA
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_019,Sales / Business Development,Sales,Entry-Level,China,Neutral,"**Job Title:** Entry-Level Sales
**Location:** China
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_020,Sales / Business Development,Sales,Entry-Level,China,Balanced,"**Job Title:** Entry-Level Sales
**Location:** China
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_021,Sales / Business Development,Sales,Entry-Level,Europe,Neutral,"**Job Title:** Entry-Level Sales
**Location:** Europe
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_022,Sales / Business Development,Sales,Entry-Level,Europe,Balanced,"**Job Title:** Entry-Level Sales
**Location:** Europe
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_023,Sales / Business Development,Sales,Entry-Level,Singapore,Neutral,"**Job Title:** Entry-Level Sales
**Location:** Singapore
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_024,Sales / Business Development,Sales,Entry-Level,Singapore,Balanced,"**Job Title:** Entry-Level Sales
**Location:** Singapore
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_025,Sales / Business Development,Sales,Senior-Level,USA,Neutral,"**Job Title:** Senior-Level Sales
**Location:** USA
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_026,Sales / Business Development,Sales,Senior-Level,USA,Balanced,"**Job Title:** Senior-Level Sales
**Location:** USA
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_027,Sales / Business Development,Sales,Senior-Level,China,Neutral,"**Job Title:** Senior-Level Sales
**Location:** China
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_028,Sales / Business Development,Sales,Senior-Level,China,Balanced,"**Job Title:** Senior-Level Sales
**Location:** China
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_029,Sales / Business Development,Sales,Senior-Level,Europe,Neutral,"**Job Title:** Senior-Level Sales
**Location:** Europe
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
EXP_030,Sales / Business Development,Sales,Senior-Level,Europe,Balanced,"**Job Title:** Senior-Level Sales
**Location:** Europe
**Responsibilities:**
- Acquire new clients.
- Communicate value to customers to promote new business and sales.
- Develop sales support libraries and templates to enable scalable work processes.
- Maintain existing customers.
- Prepare periodic sales reports showing sales volume and potential growth.
- Perform canvassing to acquire new accounts.

**Requirements:**
- Create communication plans to support local colleagues.
- Provide product expertise as a subject matter expert to support the team.
- Maintain fluency in oral and written English.
- Demonstrate proficiency in Mandarin.
- Maintain competitive product and pricing knowledge.**Competencies:**
- Drive results through track record of performance.
- Work effectively under critical deadlines.
- Possess excellent written communication skills.
- Partner cross-functionally across the organization.
- Listen actively to client needs.
- Develop and maintain strong business relationships.","P_020521, P_022122, P_013680, P_020521, P_001203, P_022587, P_001604, P_020421, P_014823, P_013777, P_004985, P_012897, P_012897, P_006570, P_013777, P_014842, P_019936"
