Log_ID,Phrase_ID,Original_Phrase,Split_Output,Phrase_Type,Competency,Decision,Confidence,Reason,Model,Prompt_Version,Timestamp
LOG_000011,P_022587,Preferred: Supplement & Beauty Industry Sales Experience - Compensation.,Supplement & Beauty Industry Sales Experience.,Requirement,Neutral,Keep,95,Experience requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258715
LOG_000012,P_018321,"Requirements Education to degree level in advertising, media, IT or similar 12 years of experience in digital marketing, preferable digital agencies.","Education to degree level in advertising, media, IT or similar, 12 years of experience in digital marketing.",Requirement,Neutral,Keep,95,Education and experience requirements.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258720
LOG_000013,P_007283,Experience: Level 1 Managing Projects Education: University Degree in Business Administration/Commercial/FinanceProfessional commercial knowledge in financial management of complex dprojects and in financial management itselfRecommended Learning Program : Excellence in Project Management Organization: Smart Infrastructure Company: P.T.,"Managing Projects, University Degree in Business Administration, Professional commercial knowledge in financial management of complex projects.",Requirement,Neutral,Keep,95,Hard skills and credentials.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258727
LOG_000014,P_004985,Maintain competitive product and pricing knowledge.,Maintain competitive product and pricing knowledge.,Requirement,Neutral,Keep,90,Domain knowledge task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258733
LOG_000015,P_007321,"Reporting into Singapore in this job, the group's global HQ is in Europe.",Reporting into [Location].,Requirement,Neutral,Keep,95,Reporting structure.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258737
LOG_000016,P_006712,associated risks and regulatory requirements Strong leadership and management abilities,Knowledge of associated risks and regulatory requirements.,Requirement,Neutral,Split,90,Compliance knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258742
LOG_000017,P_006712,associated risks and regulatory requirements Strong leadership and management abilities,Strong leadership and management abilities.,Competency,Agentic,Split,95,Mapped to leadership/management dictionary.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258744
LOG_000018,P_008499,"This is an excellent opportunity for a candidate that understands the South African security market, its competitive landscape and can translate business strategy into sales growth.",Understands the [Location] security market and competitive landscape.,Requirement,Neutral,Split,90,Market knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258748
LOG_000019,P_008499,"This is an excellent opportunity for a candidate that understands the South African security market, its competitive landscape and can translate business strategy into sales growth.",Can translate business strategy into sales growth.,Competency,Agentic,Split,90,Mapped to strategic capability dictionary.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258751
LOG_000020,P_007268,ICFR # For cross border projects: synchronizes contract structure with tax and delegation concept,Synchronizes contract structure with tax and delegation concept.,Requirement,Neutral,Keep,95,Specific task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258757
LOG_000021,P_022711,Experience in Player Support (Customer Service).,Experience in Player Support (Customer Service).,Requirement,Neutral,Keep,95,Professional experience.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258761
LOG_000022,P_020091,Strong teamwork and demonstrated leadership skills.,Strong teamwork and demonstrated leadership skills.,Competency,Communal,Keep,95,Mapped to teamwork and leadership dictionaries.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:05.258766
LOG_000023,P_018144,Supporting Sales and Operations in developing supply solutions to maintain fulfilment targets.,Supporting Sales and Operations in developing supply solutions to maintain fulfilment targets.,Requirement,Neutral,Keep,90,Task related to operational support.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867804
LOG_000024,P_008110,Must have good knowledge of Qualitative and Quantitative Research.,Must have knowledge of Qualitative and Quantitative Research.,Requirement,Neutral,Keep,95,Domain knowledge requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867810
LOG_000025,P_018322,Strong knowledge and passion in Web and Digital Analytics Aptitude to build and maintain strong working relationships.,Strong knowledge in Web and Digital Analytics.,Requirement,Neutral,Split,95,Domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867812
LOG_000026,P_018322,Strong knowledge and passion in Web and Digital Analytics Aptitude to build and maintain strong working relationships.,Aptitude to build and maintain strong working relationships.,Competency,Communal,Split,95,Relationship building is a communal trait.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867813
LOG_000027,P_020952,private universities and overseas institutions),private universities and overseas institutions,Requirement,Neutral,Keep,80,Context for qualification.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867816
LOG_000028,P_018154,"Monitoring the market for new best practice tools and techniques, expanding your own knowledge and skills and thereby enabling clients to achieve competitive success.",Monitoring the market for new best practice tools and techniques.,Requirement,Neutral,Split,90,Task related to research.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867818
LOG_000029,P_018154,"Monitoring the market for new best practice tools and techniques, expanding your own knowledge and skills and thereby enabling clients to achieve competitive success.",Expanding your own knowledge and skills.,Competency,Agentic,Split,90,Reflects growth mindset/learning agility.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867820
LOG_000030,P_020944,Specific Responsibilities The Supply Chain Trainee purpose includes understanding the Quality Management System and be familiar with supply chain management.,Understanding the Quality Management System and supply chain management.,Requirement,Neutral,Keep,95,Domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867822
LOG_000031,P_018315,Roles And Responsibilities Establish a solid working relationship with multiple clients.,Establish a solid working relationship with multiple clients.,Competency,Communal,Keep,95,Relational skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867824
LOG_000032,P_008500,WHAT YOU WILL DO - Fully own two of the main product categories including: Access Control and Fire.,Fully own two of the main product categories including: Access Control and Fire.,Competency,Agentic,Keep,95,Reflects ownership trait.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867827
LOG_000033,P_013906,This role will also be involved in project management and will need to coordinate with internal teams.,Project management.,Requirement,Neutral,Split,95,Domain skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867829
LOG_000034,P_013906,This role will also be involved in project management and will need to coordinate with internal teams.,Coordinate with internal teams.,Competency,Communal,Split,95,Collaboration/coordination trait.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867830
LOG_000035,P_018142,"Monitoring data accuracy and consistency of forecast adjustments supplied by sales, production, suppliers etc.",Monitoring data accuracy and consistency of forecast adjustments.,Requirement,Neutral,Keep,90,Operational task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867832
LOG_000036,P_007279,"AC, Taxes, Treasury, Audit), RIC incl.","Experience in AC, Taxes, Treasury, Audit, RIC.",Requirement,Neutral,Keep,95,Domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867835
LOG_000037,P_014883,"Meanwhile, you are in charge of grading all the leads and distributing them to the hands of sales representatives in a timely manner.",Grading leads and distributing them to sales representatives in a timely manner.,Requirement,Neutral,Keep,90,Specific operational process.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867838
LOG_000038,P_022714,Formal Project Management techniques or training (asset).,Formal Project Management techniques or training.,Requirement,Neutral,Keep,95,Domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867840
LOG_000039,P_001340,Travel as required across China and to UK to build key business partnerships.,Build key business partnerships.,Competency,Communal,Keep,95,Relational competency.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867844
LOG_000040,P_014823,"Fluent in oral and written English, Spanish will be a plus.","Fluent in oral and written English, Spanish will be a plus.",Requirement,Neutral,Keep,95,Language skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867848
LOG_000041,P_007277,"HR, Quality Management, EHS, customers, suppliers, consortium partners # Ensures proper execution of all tasks with all relevant stakeholders, i.e.",Ensures proper execution of all tasks with all relevant stakeholders.,Competency,Agentic,Keep,95,Execution and accountability.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867851
LOG_000042,P_020946,Trainee will have the opportunity to learn and/or sharpen their skills in Oracle / Glovia/ Sage system.,"Skills in Oracle, Glovia, or Sage systems.",Requirement,Neutral,Keep,95,Technical software knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:10.867853
LOG_000043,P_022709,Requirements Minimum 2 years of experience in Project Management or similar role in the Video Games or related industry.,Minimum 2 years of experience in Project Management or similar role in the Video Games or related industry.,Requirement,,Keep,95,Hard skill/domain experience requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674196
LOG_000044,P_020936,Role Description & Specific Responsibilities Sourcing of products from the marketplace.,Sourcing of products from the marketplace.,Requirement,,Keep,95,Standard business task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674208
LOG_000045,P_004389,"Physical Abilities Ability to repetitively lift, carry, and position objects weighing up to 50 pounds without assistance.","Ability to repetitively lift, carry, and position objects weighing up to 50 pounds without assistance.",Requirement,,Keep,95,Physical requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674213
LOG_000046,P_020172,Provide input to the Content Development team based on customer and industry feedback.,Provide input to the Content Development team based on customer and industry feedback.,Requirement,,Keep,95,Task-based responsibility.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674217
LOG_000047,P_011539,"WE ARE FAITHFUL: We expect you to have a growth mindset and the belief that you and all of us, can do more and be better.",Growth mindset,Competency,Agentic,Keep,90,"Soft skill, behavioural trait.",gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674224
LOG_000048,P_008501,"- Creating strategic plans for the product category, including growth and promotional programs to achieve budget objectives.",Creating strategic plans for the product category.,Requirement,,Split,90,Hard skill task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674228
LOG_000049,P_008501,"- Creating strategic plans for the product category, including growth and promotional programs to achieve budget objectives.",Developing growth and promotional programs to achieve budget objectives.,Requirement,Agentic,Split,90,Task combined with result-oriented competence.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674231
LOG_000050,P_007273,"calculation, tax, insurances, currency # Ensures communication of relevant commercial contractual obligations/conditions to the relevant project team members # Member of the Change Management Authority (change control board) - review, approval, rejection of change requests incl.","Calculation, tax, insurances, currency.",Requirement,,Split,90,Domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674234
LOG_000051,P_007273,"calculation, tax, insurances, currency # Ensures communication of relevant commercial contractual obligations/conditions to the relevant project team members # Member of the Change Management Authority (change control board) - review, approval, rejection of change requests incl.",Ensures communication of relevant commercial contractual obligations/conditions to the relevant project team members.,Requirement,Communal,Split,90,Operational task requiring communication.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674237
LOG_000052,P_007273,"calculation, tax, insurances, currency # Ensures communication of relevant commercial contractual obligations/conditions to the relevant project team members # Member of the Change Management Authority (change control board) - review, approval, rejection of change requests incl.","Member of the Change Management Authority (change control board) - review, approval, rejection of change requests.",Requirement,,Split,90,Operational task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674239
LOG_000053,P_022701,Day-to-day management and mentoring and conducting performance management of Team Leadership.,Day-to-day management of Team Leadership.,Requirement,,Split,90,Managerial task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674244
LOG_000054,P_022701,Day-to-day management and mentoring and conducting performance management of Team Leadership.,Mentoring Team Leadership.,Competency,Communal,Split,90,Behavioural skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674247
LOG_000055,P_022701,Day-to-day management and mentoring and conducting performance management of Team Leadership.,Conducting performance management of Team Leadership.,Requirement,,Split,90,Managerial task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674249
LOG_000056,P_020735,Negotiate contracts with prospective clients.,Negotiate contracts with prospective clients.,Requirement,Agentic,Keep,90,Task requiring persuasive skills.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674252
LOG_000057,P_006224,Position: Project Manager Job Description: Manage standard coverage reports.,Manage standard coverage reports.,Requirement,,Keep,95,Standard task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674256
LOG_000058,P_001581,Experience in publishing industry will be a plus.,Experience in publishing industry.,Requirement,,Keep,95,Domain knowledge.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674260
LOG_000059,P_018378,"You will also identify key risks and opportunities revolving around Supply Chain, and drive continuous improvement via regional projects and initiatives.",Identify key risks and opportunities revolving around Supply Chain.,Competency,Agentic,Split,90,Analytical and strategic ability.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674276
LOG_000060,P_018378,"You will also identify key risks and opportunities revolving around Supply Chain, and drive continuous improvement via regional projects and initiatives.",Drive continuous improvement via regional projects and initiatives.,Competency,Agentic,Split,90,Driving results and initiative.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674278
LOG_000061,P_023540,Are you able to engage and inspire others?,Engage and inspire others.,Competency,Agentic,Keep,95,Leadership and influence behavioural trait.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674288
LOG_000062,P_022715,Excellent written and verbal communication skills in English and Chinese.,Excellent written and verbal communication skills in English and Chinese.,Requirement,Agentic,Keep,95,Language skill and communication.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674294
LOG_000063,P_006710,"Manage controls framework, reporting and escalation for transaction execution","Manage controls framework, reporting and escalation for transaction execution.",Requirement,,Keep,95,Operational requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:16.674298
LOG_000064,P_008161,This person should be attuned to the needs of our users and be able to break down and solve complex business problems.,Attuned to the needs of our users,Competency,Communal,Split,90,Soft skill identifying empathy toward stakeholders.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362495
LOG_000065,P_008161,This person should be attuned to the needs of our users and be able to break down and solve complex business problems.,Break down and solve complex business problems,Competency,Agentic,Split,95,Problem-solving and analytical capability.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362501
LOG_000066,P_018150,Delivering world class business and change management consulting to senior management within client organisations.,Delivering world class business and change management consulting to senior management within client organisations.,Requirement,Neutral,Keep,95,Domain knowledge and professional experience.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362503
LOG_000067,P_007276,"Compliance, Legal Units, HR), if required # Ensures proper handling of bank accounts including petty cash 'Baukasse', if applicable Manage project team # Agrees targets and work packages with commercial project staff # Holds meetings and seeks actively feedback (e.g.","Ensures proper handling of bank accounts including petty cash, if applicable",Requirement,Neutral,Split,90,Financial task execution.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362505
LOG_000068,P_007276,"Compliance, Legal Units, HR), if required # Ensures proper handling of bank accounts including petty cash 'Baukasse', if applicable Manage project team # Agrees targets and work packages with commercial project staff # Holds meetings and seeks actively feedback (e.g.",Manage project team,Competency,Agentic,Split,95,Leadership capability.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362507
LOG_000069,P_007276,"Compliance, Legal Units, HR), if required # Ensures proper handling of bank accounts including petty cash 'Baukasse', if applicable Manage project team # Agrees targets and work packages with commercial project staff # Holds meetings and seeks actively feedback (e.g.",Agrees targets and work packages with commercial project staff,Competency,Agentic,Split,90,Decision-making and management skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362508
LOG_000070,P_007276,"Compliance, Legal Units, HR), if required # Ensures proper handling of bank accounts including petty cash 'Baukasse', if applicable Manage project team # Agrees targets and work packages with commercial project staff # Holds meetings and seeks actively feedback (e.g.",Holds meetings and seeks actively feedback,Competency,Communal,Split,90,Stakeholder engagement/communication skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362509
LOG_000071,P_002711,"Position Overview The Manager, APAC Business Development will primarily focus on identifying, developing and winning APAC new business opportunities.","The Manager, [Location] Business Development will primarily focus on identifying, developing and winning [Location] new business opportunities.",Requirement,Neutral,Keep,95,Job function and scope.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362511
LOG_000072,P_014854,Please apply with your resume and let us know how you will work to bring sales for Enthof.,Please apply with your resume,Requirement,Neutral,Split,90,Administrative requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362513
LOG_000073,P_014854,Please apply with your resume and let us know how you will work to bring sales for Enthof.,Work to bring sales for [Company],Competency,Agentic,Split,90,Performance-driven skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362514
LOG_000074,P_004032,Assist sales and marketing with selected trade show coordination and requested administrative tasks.,Assist sales and marketing with selected trade show coordination and requested administrative tasks.,Requirement,Neutral,Keep,95,Operational task description.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362516
LOG_000075,P_009606,Coordinate people and processes to ensure that our projects are delivered on time and produce the desired results,Coordinate people and processes to ensure that our projects are delivered on time and produce the desired results,Competency,Agentic,Keep,95,Project management and results-oriented capability.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362518
LOG_000076,P_007427,Reconciliation of customer accounts to ensure clean aged debt report Order release in accordance with the company policy.,Reconciliation of customer accounts to ensure clean aged debt report. Order release in accordance with the company policy.,Requirement,Neutral,Keep,95,Technical duty/procedure.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362521
LOG_000077,P_020951,"For Recent Graduates, Please Note The Below Requirement Graduated or graduating in calendar year 2019 to 2021 from ITEs, polytechnics, universities, or other educational institutions (e.g.","Graduated or graduating in calendar year 2019 to 2021 from ITEs, polytechnics, universities, or other educational institutions",Requirement,Neutral,Keep,100,Educational qualification requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362523
LOG_000078,P_020938,Prepare Sales quotations and submit to customers on time.,Prepare Sales quotations and submit to customers on time.,Requirement,Neutral,Keep,95,Administrative/Task requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362525
LOG_000079,P_008507,"YOU MUST HAVE - Experience as a professional product/category manager in retail, e-tail/catalog, distribution or similar environment.","Experience as a professional product/category manager in retail, e-tail/catalog, distribution or similar environment.",Requirement,Neutral,Keep,100,Professional experience requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362528
LOG_000080,P_004835,to drive traffic to increase sales.,Drive traffic to increase sales.,Competency,Agentic,Keep,90,Results-oriented performance skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362530
LOG_000081,P_018153,Analysing procurement & supply chain processes together with your counterparts and developing optimised concepts for presentation to the client.,Analysing procurement & supply chain processes,Requirement,Neutral,Split,95,Domain/Technical skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362534
LOG_000082,P_018153,Analysing procurement & supply chain processes together with your counterparts and developing optimised concepts for presentation to the client.,Developing optimised concepts for presentation to the client,Competency,Agentic,Split,90,Strategic thinking and presentation skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362536
LOG_000083,P_003111,The ideal candidate should have previous Director of Sales experience in a full service or select service property.,Previous Director of Sales experience in a full service or select service property.,Requirement,Neutral,Keep,100,Experience requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362538
LOG_000084,P_005506,"Ability to comprehend, analyze, and interpret language industry related requests.","Ability to comprehend, analyze, and interpret language industry related requests.",Competency,Agentic,Keep,95,Analytical competency.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362542
LOG_000085,P_008273,"Defines the timeline and work packages for different departments involved internally (QMM, TEF, ENG, etc.)",Defines the timeline and work packages for different departments involved internally.,Competency,Agentic,Keep,90,Project management/coordination skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362544
LOG_000086,P_018318,Working with the delivery team to be the first line of support in the running of accounts.,Working with the delivery team to be the first line of support in the running of accounts.,Competency,Communal,Keep,90,Team collaboration and support.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362547
LOG_000087,P_021440,Specify components to be used in the Automation systems and interface with customers / vendors Responsible for programming automation and controls systems involving PLCs (programmable logic controllers).,Specify components to be used in the Automation systems and interface with customers / vendors,Requirement,Neutral,Split,95,Technical task and interface requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362550
LOG_000088,P_021440,Specify components to be used in the Automation systems and interface with customers / vendors Responsible for programming automation and controls systems involving PLCs (programmable logic controllers).,Responsible for programming automation and controls systems involving PLCs,Requirement,Neutral,Split,100,Hard skill requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:23.362551
LOG_000089,P_008552,This individual is accountable for the design and management of the global sales training calendar,Accountable for the design and management of the global sales training calendar.,Responsibility,Neutral,Keep,95,Role responsibility.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622007
LOG_000090,P_019300,"Your time will be split evenly between Category Management, Merchandising and Supply Chain.",Time split between Category Management.,Responsibility,Neutral,Split,90,Task allocation.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622034
LOG_000091,P_019300,"Your time will be split evenly between Category Management, Merchandising and Supply Chain.",Time split between Merchandising.,Responsibility,Neutral,Split,90,Task allocation.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622038
LOG_000092,P_019300,"Your time will be split evenly between Category Management, Merchandising and Supply Chain.",Time split between Supply Chain.,Responsibility,Neutral,Split,90,Task allocation.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622042
LOG_000093,P_008510,- Experience generating tactical and strategic category roadmaps and detailed plans including annual and 5-year plans.,Experience generating tactical and strategic category roadmaps and detailed plans including annual and 5-year plans.,Requirement,Neutral,Keep,95,Hard skill/experience requirement.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622049
LOG_000094,P_006603,"Preparing / reviewing of transaction memos, legal documentation, marketing material.Participating in credit committees.",Preparing and reviewing of transaction memos.,Responsibility,Neutral,Split,95,Task list.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622057
LOG_000095,P_006603,"Preparing / reviewing of transaction memos, legal documentation, marketing material.Participating in credit committees.",Preparing and reviewing of legal documentation.,Responsibility,Neutral,Split,95,Task list.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622061
LOG_000096,P_006603,"Preparing / reviewing of transaction memos, legal documentation, marketing material.Participating in credit committees.",Preparing and reviewing of marketing material.,Responsibility,Neutral,Split,95,Task list.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622064
LOG_000097,P_006603,"Preparing / reviewing of transaction memos, legal documentation, marketing material.Participating in credit committees.",Participating in credit committees.,Responsibility,Neutral,Split,95,Task list.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622067
LOG_000098,P_007428,Ability to prioritise workloads in accordance with business needs.,Ability to prioritise workloads in accordance with business needs.,Competency,Agentic,Keep,90,Behavioural skill.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622074
LOG_000099,P_022700,"Planning, applying and adapting project strategies with the support of the Team Leads.",Planning project strategies.,Responsibility,Neutral,Split,90,Project management task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622080
LOG_000100,P_022700,"Planning, applying and adapting project strategies with the support of the Team Leads.",Applying project strategies.,Responsibility,Neutral,Split,90,Project management task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622084
LOG_000101,P_022700,"Planning, applying and adapting project strategies with the support of the Team Leads.",Adapting project strategies with the support of the Team Leads.,Responsibility,Neutral,Split,90,Project management task.,gemini-3.1-flash-lite,V3_Expanded_Anon,2026-07-13T18:38:30.622087
